approach,dataset_type,model_name,outer_fold,window_years,train_start,train_end,train_target_end,train_rows,valid_start,valid_end,valid_rows,selection_metric,inner_score,features,params
deduplicated,hybrid,logistic_regression,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,pooled_auc,0.5080700933562846,22,"{""model__C"": 10.0}"
deduplicated,hybrid,random_forest,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,pooled_auc,0.511849030622242,22,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
deduplicated,hybrid,hist_gradient_boosting,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,pooled_auc,0.5120474102940062,22,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
deduplicated,lag_1,logistic_regression,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,pooled_auc,0.507956454205297,24,"{""model__C"": 10.0}"
deduplicated,lag_1,random_forest,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,pooled_auc,0.5100337405408228,24,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
deduplicated,lag_1,hist_gradient_boosting,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,pooled_auc,0.5074757601198256,24,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
window_3y,base,dummy,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5,9,{}
window_3y,base,logistic_regression,1,3,2020-10-16,2023-10-12,2023-10-13,3008,2023-10-16,2024-07-11,740,pooled_auc,0.5014993008743087,9,"{""model__C"": 0.1}"
window_3y,base,random_forest,1,3,2020-10-16,2023-10-12,2023-10-13,3008,2023-10-16,2024-07-11,740,pooled_auc,0.5051664558988129,9,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
window_3y,base,hist_gradient_boosting,1,3,2020-10-16,2023-10-12,2023-10-13,3008,2023-10-16,2024-07-11,740,pooled_auc,0.5027619490389316,9,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
window_3y,hybrid,logistic_regression,1,3,2020-10-16,2023-10-12,2023-10-13,3008,2023-10-16,2024-07-11,740,pooled_auc,0.5122872877333534,22,"{""model__C"": 0.1}"
window_3y,hybrid,random_forest,1,3,2020-10-16,2023-10-12,2023-10-13,3008,2023-10-16,2024-07-11,740,pooled_auc,0.5028243208756037,22,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
window_3y,hybrid,hist_gradient_boosting,1,3,2020-10-16,2023-10-12,2023-10-13,3008,2023-10-16,2024-07-11,740,pooled_auc,0.5055818549937934,22,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
window_3y,lag_1,logistic_regression,1,3,2020-10-16,2023-10-12,2023-10-13,3008,2023-10-16,2024-07-11,740,pooled_auc,0.5121709752700455,24,"{""model__C"": 0.1}"
window_3y,lag_1,random_forest,1,3,2020-10-16,2023-10-12,2023-10-13,3008,2023-10-16,2024-07-11,740,pooled_auc,0.5039083580816823,24,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
window_3y,lag_1,hist_gradient_boosting,1,3,2020-10-16,2023-10-12,2023-10-13,3008,2023-10-16,2024-07-11,740,pooled_auc,0.5022602883093116,24,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
window_3y,base,dummy,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,pooled_auc,0.5,9,{}
window_3y,base,logistic_regression,2,3,2021-07-12,2024-07-10,2024-07-11,3016,2024-07-12,2025-04-04,736,pooled_auc,0.506306464197218,9,"{""model__C"": 0.1}"
window_3y,base,random_forest,2,3,2021-07-12,2024-07-10,2024-07-11,3016,2024-07-12,2025-04-04,736,pooled_auc,0.5047278234154638,9,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
window_3y,base,hist_gradient_boosting,2,3,2021-07-12,2024-07-10,2024-07-11,3016,2024-07-12,2025-04-04,736,pooled_auc,0.5037539019458449,9,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
window_3y,hybrid,logistic_regression,2,3,2021-07-12,2024-07-10,2024-07-11,3016,2024-07-12,2025-04-04,736,pooled_auc,0.5162560384174029,22,"{""model__C"": 0.1}"
window_3y,hybrid,random_forest,2,3,2021-07-12,2024-07-10,2024-07-11,3016,2024-07-12,2025-04-04,736,pooled_auc,0.5062895850615905,22,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
window_3y,hybrid,hist_gradient_boosting,2,3,2021-07-12,2024-07-10,2024-07-11,3016,2024-07-12,2025-04-04,736,pooled_auc,0.5017817087331492,22,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
window_3y,lag_1,logistic_regression,2,3,2021-07-12,2024-07-10,2024-07-11,3016,2024-07-12,2025-04-04,736,pooled_auc,0.5165364233310754,24,"{""model__C"": 0.1}"
window_3y,lag_1,random_forest,2,3,2021-07-12,2024-07-10,2024-07-11,3016,2024-07-12,2025-04-04,736,pooled_auc,0.509235207849138,24,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
window_3y,lag_1,hist_gradient_boosting,2,3,2021-07-12,2024-07-10,2024-07-11,3016,2024-07-12,2025-04-04,736,pooled_auc,0.500584821893976,24,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
window_3y,base,dummy,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,pooled_auc,0.5,9,{}
window_3y,base,logistic_regression,3,3,2022-04-07,2025-04-03,2025-04-04,3000,2025-04-07,2025-12-29,736,pooled_auc,0.5082093294057303,9,"{""model__C"": 10.0}"
window_3y,base,random_forest,3,3,2022-04-07,2025-04-03,2025-04-04,3000,2025-04-07,2025-12-29,736,pooled_auc,0.5140606360142133,9,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
window_3y,base,hist_gradient_boosting,3,3,2022-04-07,2025-04-03,2025-04-04,3000,2025-04-07,2025-12-29,736,pooled_auc,0.5058876381639662,9,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
window_3y,hybrid,logistic_regression,3,3,2022-04-07,2025-04-03,2025-04-04,3000,2025-04-07,2025-12-29,736,pooled_auc,0.512792050278151,22,"{""model__C"": 10.0}"
window_3y,hybrid,random_forest,3,3,2022-04-07,2025-04-03,2025-04-04,3000,2025-04-07,2025-12-29,736,pooled_auc,0.5071701924516354,22,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
window_3y,hybrid,hist_gradient_boosting,3,3,2022-04-07,2025-04-03,2025-04-04,3000,2025-04-07,2025-12-29,736,pooled_auc,0.5086313725806585,22,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
window_3y,lag_1,logistic_regression,3,3,2022-04-07,2025-04-03,2025-04-04,3000,2025-04-07,2025-12-29,736,pooled_auc,0.512561621577697,24,"{""model__C"": 10.0}"
window_3y,lag_1,random_forest,3,3,2022-04-07,2025-04-03,2025-04-04,3000,2025-04-07,2025-12-29,736,pooled_auc,0.5096391383860512,24,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
window_3y,lag_1,hist_gradient_boosting,3,3,2022-04-07,2025-04-03,2025-04-04,3000,2025-04-07,2025-12-29,736,pooled_auc,0.504850473926871,24,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
window_5y,base,dummy,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5,9,{}
window_5y,base,logistic_regression,1,5,2018-10-16,2023-10-12,2023-10-13,5024,2023-10-16,2024-07-11,740,pooled_auc,0.5020858980965183,9,"{""model__C"": 0.1}"
window_5y,base,random_forest,1,5,2018-10-16,2023-10-12,2023-10-13,5024,2023-10-16,2024-07-11,740,pooled_auc,0.4992907726488707,9,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
window_5y,base,hist_gradient_boosting,1,5,2018-10-16,2023-10-12,2023-10-13,5024,2023-10-16,2024-07-11,740,pooled_auc,0.5079869383346217,9,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
window_5y,hybrid,logistic_regression,1,5,2018-10-16,2023-10-12,2023-10-13,5024,2023-10-16,2024-07-11,740,pooled_auc,0.5125687154905881,22,"{""model__C"": 0.1}"
window_5y,hybrid,random_forest,1,5,2018-10-16,2023-10-12,2023-10-13,5024,2023-10-16,2024-07-11,740,pooled_auc,0.5030112832818788,22,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
window_5y,hybrid,hist_gradient_boosting,1,5,2018-10-16,2023-10-12,2023-10-13,5024,2023-10-16,2024-07-11,740,pooled_auc,0.5097683596942555,22,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
window_5y,lag_1,logistic_regression,1,5,2018-10-16,2023-10-12,2023-10-13,5024,2023-10-16,2024-07-11,740,pooled_auc,0.5126248154363929,24,"{""model__C"": 0.1}"
window_5y,lag_1,random_forest,1,5,2018-10-16,2023-10-12,2023-10-13,5024,2023-10-16,2024-07-11,740,pooled_auc,0.5051129158170501,24,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
window_5y,lag_1,hist_gradient_boosting,1,5,2018-10-16,2023-10-12,2023-10-13,5024,2023-10-16,2024-07-11,740,pooled_auc,0.5046141630809073,24,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
window_5y,base,dummy,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,pooled_auc,0.5,9,{}
window_5y,base,logistic_regression,2,5,2019-07-12,2024-07-10,2024-07-11,5028,2024-07-12,2025-04-04,736,pooled_auc,0.5043760161679604,9,"{""model__C"": 0.1}"
window_5y,base,random_forest,2,5,2019-07-12,2024-07-10,2024-07-11,5028,2024-07-12,2025-04-04,736,pooled_auc,0.500855995065692,9,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
window_5y,base,hist_gradient_boosting,2,5,2019-07-12,2024-07-10,2024-07-11,5028,2024-07-12,2025-04-04,736,pooled_auc,0.504958011668773,9,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
window_5y,hybrid,logistic_regression,2,5,2019-07-12,2024-07-10,2024-07-11,5028,2024-07-12,2025-04-04,736,pooled_auc,0.5155621554207298,22,"{""model__C"": 0.1}"
window_5y,hybrid,random_forest,2,5,2019-07-12,2024-07-10,2024-07-11,5028,2024-07-12,2025-04-04,736,pooled_auc,0.5109640507623311,22,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
window_5y,hybrid,hist_gradient_boosting,2,5,2019-07-12,2024-07-10,2024-07-11,5028,2024-07-12,2025-04-04,736,pooled_auc,0.5067604630113264,22,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
window_5y,lag_1,logistic_regression,2,5,2019-07-12,2024-07-10,2024-07-11,5028,2024-07-12,2025-04-04,736,pooled_auc,0.5153763959914238,24,"{""model__C"": 0.1}"
window_5y,lag_1,random_forest,2,5,2019-07-12,2024-07-10,2024-07-11,5028,2024-07-12,2025-04-04,736,pooled_auc,0.5074169788055988,24,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
window_5y,lag_1,hist_gradient_boosting,2,5,2019-07-12,2024-07-10,2024-07-11,5028,2024-07-12,2025-04-04,736,pooled_auc,0.5003906011014589,24,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
window_5y,base,dummy,3,all,2015-01-02,2025-04-03,2025-04-04,10316,2025-04-07,2025-12-29,736,pooled_auc,0.5,9,{}
window_5y,base,logistic_regression,3,5,2020-04-07,2025-04-03,2025-04-04,5020,2025-04-07,2025-12-29,736,pooled_auc,0.5074224333503157,9,"{""model__C"": 10.0}"
window_5y,base,random_forest,3,5,2020-04-07,2025-04-03,2025-04-04,5020,2025-04-07,2025-12-29,736,pooled_auc,0.5078739707936136,9,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
window_5y,base,hist_gradient_boosting,3,5,2020-04-07,2025-04-03,2025-04-04,5020,2025-04-07,2025-12-29,736,pooled_auc,0.5080122459370566,9,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
window_5y,hybrid,logistic_regression,3,5,2020-04-07,2025-04-03,2025-04-04,5020,2025-04-07,2025-12-29,736,pooled_auc,0.509645294042762,22,"{""model__C"": 10.0}"
window_5y,hybrid,random_forest,3,5,2020-04-07,2025-04-03,2025-04-04,5020,2025-04-07,2025-12-29,736,pooled_auc,0.5062053386999844,22,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
window_5y,hybrid,hist_gradient_boosting,3,5,2020-04-07,2025-04-03,2025-04-04,5020,2025-04-07,2025-12-29,736,pooled_auc,0.5084575080983054,22,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
window_5y,lag_1,logistic_regression,3,5,2020-04-07,2025-04-03,2025-04-04,5020,2025-04-07,2025-12-29,736,pooled_auc,0.5095024320889316,24,"{""model__C"": 10.0}"
window_5y,lag_1,random_forest,3,5,2020-04-07,2025-04-03,2025-04-04,5020,2025-04-07,2025-12-29,736,pooled_auc,0.5039273100691982,24,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
window_5y,lag_1,hist_gradient_boosting,3,5,2020-04-07,2025-04-03,2025-04-04,5020,2025-04-07,2025-12-29,736,pooled_auc,0.5056652337930574,24,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
enhanced,base,dummy,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5,9,{}
enhanced,base,logistic_regression,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5015333179030799,9,"{""model__C"": 0.1}"
enhanced,base,random_forest,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5028756128708378,9,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
enhanced,base,hist_gradient_boosting,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5040198039453792,9,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
enhanced,hybrid,logistic_regression,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5104446085777682,27,"{""model__C"": 0.1}"
