config_id,inner_fold,selection_metric,selection_score,params,pooled_auc,macro_auc,window_years,train_start,train_end,train_target_end,train_rows,valid_start,valid_end,valid_rows,approach,dataset_type,model_name,outer_fold
1,3,pooled_auc,0.49033324418119195,"{""model__C"": 10.0}",0.49033324418119195,0.48953559729002527,all,2015-01-02,2021-07-29,2021-07-30,6620,2021-08-02,2023-10-12,2216,reference,lag_1,logistic_regression,1
0,1,pooled_auc,0.4969314186484073,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.4969314186484073,0.5102322911958714,all,2015-01-02,2017-03-10,2017-03-13,2204,2017-03-14,2019-05-22,2208,reference,lag_1,random_forest,1
0,2,pooled_auc,0.5324343914395026,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5324343914395026,0.5310577256091499,all,2015-01-02,2019-05-21,2019-05-22,4412,2019-05-23,2021-07-30,2208,reference,lag_1,random_forest,1
0,3,pooled_auc,0.4898635646070348,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.4898635646070348,0.48961542554329174,all,2015-01-02,2021-07-29,2021-07-30,6620,2021-08-02,2023-10-12,2216,reference,lag_1,random_forest,1
1,1,pooled_auc,0.4958497952082352,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.4958497952082352,0.5066575770966913,all,2015-01-02,2017-03-10,2017-03-13,2204,2017-03-14,2019-05-22,2208,reference,lag_1,random_forest,1
1,2,pooled_auc,0.5184853074020935,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5184853074020935,0.5154768789467034,all,2015-01-02,2019-05-21,2019-05-22,4412,2019-05-23,2021-07-30,2208,reference,lag_1,random_forest,1
1,3,pooled_auc,0.49814737501304673,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.49814737501304673,0.49706253117098737,all,2015-01-02,2021-07-29,2021-07-30,6620,2021-08-02,2023-10-12,2216,reference,lag_1,random_forest,1
0,1,pooled_auc,0.5095290777945096,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5095290777945096,0.5182709201783503,all,2015-01-02,2017-03-10,2017-03-13,2204,2017-03-14,2019-05-22,2208,reference,lag_1,hist_gradient_boosting,1
0,2,pooled_auc,0.5227687111429938,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5227687111429938,0.5225938187440844,all,2015-01-02,2019-05-21,2019-05-22,4412,2019-05-23,2021-07-30,2208,reference,lag_1,hist_gradient_boosting,1
0,3,pooled_auc,0.47465972693351427,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.47465972693351427,0.4730637654894556,all,2015-01-02,2021-07-29,2021-07-30,6620,2021-08-02,2023-10-12,2216,reference,lag_1,hist_gradient_boosting,1
1,1,pooled_auc,0.4974800562806652,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.4974800562806652,0.5042462369557261,all,2015-01-02,2017-03-10,2017-03-13,2204,2017-03-14,2019-05-22,2208,reference,lag_1,hist_gradient_boosting,1
1,2,pooled_auc,0.5205203185610288,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5205203185610288,0.5212419844162111,all,2015-01-02,2019-05-21,2019-05-22,4412,2019-05-23,2021-07-30,2208,reference,lag_1,hist_gradient_boosting,1
1,3,pooled_auc,0.48128416592735623,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.48128416592735623,0.47981999125947106,all,2015-01-02,2021-07-29,2021-07-30,6620,2021-08-02,2023-10-12,2216,reference,lag_1,hist_gradient_boosting,1
0,1,pooled_auc,0.49785396887746336,"{""model__C"": 0.1}",0.49785396887746336,0.5254369673615323,all,2015-01-02,2017-05-16,2017-05-17,2388,2017-05-18,2019-10-02,2392,reference,base,logistic_regression,2
0,2,pooled_auc,0.5333607826158318,"{""model__C"": 0.1}",0.5333607826158318,0.5342127101052777,all,2015-01-02,2019-10-01,2019-10-02,4780,2019-10-03,2022-02-15,2392,reference,base,logistic_regression,2
0,3,pooled_auc,0.47873343838078963,"{""model__C"": 0.1}",0.47873343838078963,0.4785337844962768,all,2015-01-02,2022-02-14,2022-02-15,7172,2022-02-16,2024-07-10,2404,reference,base,logistic_regression,2
1,1,pooled_auc,0.49702557771690914,"{""model__C"": 10.0}",0.49702557771690914,0.523222786060269,all,2015-01-02,2017-05-16,2017-05-17,2388,2017-05-18,2019-10-02,2392,reference,base,logistic_regression,2
1,2,pooled_auc,0.5324856598722618,"{""model__C"": 10.0}",0.5324856598722618,0.5326811643860809,all,2015-01-02,2019-10-01,2019-10-02,4780,2019-10-03,2022-02-15,2392,reference,base,logistic_regression,2
1,3,pooled_auc,0.4791981069264742,"{""model__C"": 10.0}",0.4791981069264742,0.47833281333708777,all,2015-01-02,2022-02-14,2022-02-15,7172,2022-02-16,2024-07-10,2404,reference,base,logistic_regression,2
0,1,pooled_auc,0.48879006491752913,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.48879006491752913,0.505950923034605,all,2015-01-02,2017-05-16,2017-05-17,2388,2017-05-18,2019-10-02,2392,reference,base,random_forest,2
0,2,pooled_auc,0.5284736784019424,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5284736784019424,0.5283478893086644,all,2015-01-02,2019-10-01,2019-10-02,4780,2019-10-03,2022-02-15,2392,reference,base,random_forest,2
0,3,pooled_auc,0.48768697707450237,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.48768697707450237,0.4878053582509569,all,2015-01-02,2022-02-14,2022-02-15,7172,2022-02-16,2024-07-10,2404,reference,base,random_forest,2
1,1,pooled_auc,0.4929141342049795,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.4929141342049795,0.5083064896687458,all,2015-01-02,2017-05-16,2017-05-17,2388,2017-05-18,2019-10-02,2392,reference,base,random_forest,2
1,2,pooled_auc,0.5280477900497765,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5280477900497765,0.5286547503244241,all,2015-01-02,2019-10-01,2019-10-02,4780,2019-10-03,2022-02-15,2392,reference,base,random_forest,2
1,3,pooled_auc,0.4939371157815309,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.4939371157815309,0.4945764109228882,all,2015-01-02,2022-02-14,2022-02-15,7172,2022-02-16,2024-07-10,2404,reference,base,random_forest,2
0,1,pooled_auc,0.49130154209819343,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.49130154209819343,0.5026493740748438,all,2015-01-02,2017-05-16,2017-05-17,2388,2017-05-18,2019-10-02,2392,reference,base,hist_gradient_boosting,2
0,2,pooled_auc,0.5153231374812878,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5153231374812878,0.5151122178662078,all,2015-01-02,2019-10-01,2019-10-02,4780,2019-10-03,2022-02-15,2392,reference,base,hist_gradient_boosting,2
0,3,pooled_auc,0.48424045418229433,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.48424045418229433,0.4846188545558844,all,2015-01-02,2022-02-14,2022-02-15,7172,2022-02-16,2024-07-10,2404,reference,base,hist_gradient_boosting,2
1,1,pooled_auc,0.49075126871508185,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.49075126871508185,0.5006347210229454,all,2015-01-02,2017-05-16,2017-05-17,2388,2017-05-18,2019-10-02,2392,reference,base,hist_gradient_boosting,2
1,2,pooled_auc,0.5233796433857133,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5233796433857133,0.523968421706866,all,2015-01-02,2019-10-01,2019-10-02,4780,2019-10-03,2022-02-15,2392,reference,base,hist_gradient_boosting,2
1,3,pooled_auc,0.4878555061142058,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.4878555061142058,0.4872570887744743,all,2015-01-02,2022-02-14,2022-02-15,7172,2022-02-16,2024-07-10,2404,reference,base,hist_gradient_boosting,2
0,1,pooled_auc,0.510462910030828,"{""model__C"": 0.1}",0.510462910030828,0.5326735897603231,all,2015-01-02,2017-05-16,2017-05-17,2388,2017-05-18,2019-10-02,2392,reference,hybrid,logistic_regression,2
0,2,pooled_auc,0.5343724443161592,"{""model__C"": 0.1}",0.5343724443161592,0.5363981581047003,all,2015-01-02,2019-10-01,2019-10-02,4780,2019-10-03,2022-02-15,2392,reference,hybrid,logistic_regression,2
0,3,pooled_auc,0.49297518253844963,"{""model__C"": 0.1}",0.49297518253844963,0.493538683239758,all,2015-01-02,2022-02-14,2022-02-15,7172,2022-02-16,2024-07-10,2404,reference,hybrid,logistic_regression,2
1,1,pooled_auc,0.509693439156037,"{""model__C"": 10.0}",0.509693439156037,0.5322679544535464,all,2015-01-02,2017-05-16,2017-05-17,2388,2017-05-18,2019-10-02,2392,reference,hybrid,logistic_regression,2
1,2,pooled_auc,0.531790938340988,"{""model__C"": 10.0}",0.531790938340988,0.5343443948235079,all,2015-01-02,2019-10-01,2019-10-02,4780,2019-10-03,2022-02-15,2392,reference,hybrid,logistic_regression,2
1,3,pooled_auc,0.49333582081271227,"{""model__C"": 10.0}",0.49333582081271227,0.4929392660070048,all,2015-01-02,2022-02-14,2022-02-15,7172,2022-02-16,2024-07-10,2404,reference,hybrid,logistic_regression,2
0,1,pooled_auc,0.498509457056581,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.498509457056581,0.5177073342660131,all,2015-01-02,2017-05-16,2017-05-17,2388,2017-05-18,2019-10-02,2392,reference,hybrid,random_forest,2
0,2,pooled_auc,0.5289512110227264,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5289512110227264,0.5266616761903434,all,2015-01-02,2019-10-01,2019-10-02,4780,2019-10-03,2022-02-15,2392,reference,hybrid,random_forest,2
0,3,pooled_auc,0.4963780127166604,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.4963780127166604,0.4955316856831122,all,2015-01-02,2022-02-14,2022-02-15,7172,2022-02-16,2024-07-10,2404,reference,hybrid,random_forest,2
1,1,pooled_auc,0.5022158236038873,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5022158236038873,0.519471336737253,all,2015-01-02,2017-05-16,2017-05-17,2388,2017-05-18,2019-10-02,2392,reference,hybrid,random_forest,2
