Date,Adj Close,Close,High,Low,Open,Volume,next_adj_close,target,daily_return,sma_5,sma_20,sma_50,RSI,MACD,MACD_signal,volatility_20
2019-03-19,254.39572143554688,282.3999938964844,284.3599853515625,281.4100036621094,283.510009765625,90268100,253.6300506591797,0,0.0002476009198728,253.32793884277345,250.5682716369629,243.6066500854492,69.17342163299739,2.6153390801914043,2.551634021207766,0.00518298000182476
2019-03-20,253.6300506591797,281.54998779296875,283.5,280.32000732421875,282.1600036621094,84609200,256.4947204589844,1,-0.0030097627902172,253.58804321289065,250.7646919250488,244.11626220703124,65.75429268531025,2.587525710771615,2.5588123591205365,0.005254771024979699
2019-03-21,256.4947204589844,284.7300109863281,285.17999267578125,280.5899963378906,280.6400146484375,79550400,251.5581817626953,0,0.011294678183281,254.45339660644527,251.14873962402345,244.6402969360352,71.44182474167253,2.764767804677632,2.600003448231956,0.0056426967374727365
2019-03-22,251.5581817626953,279.25,283.79998779296875,279.17999267578125,283.2200012207031,122659300,251.3689727783203,0,-0.0192461610416595,254.08228454589843,251.2088317871093,245.04407470703129,54.61025619018686,2.478327408977748,2.575668240381114,0.0071919334821086076
2019-03-25,251.3689727783203,279.0400085449219,280.19000244140625,277.6400146484375,278.8699951171875,85575200,253.2427520751953,1,-0.0007521480042874,253.48952941894527,251.2424224853516,245.4277456665039,54.08430289524266,2.210571653946744,2.5026489230942404,0.007190489840330524
2019-03-26,253.2427520751953,281.1199951171875,282.17999267578125,279.5599975585937,280.989990234375,68125900,251.9185333251953,0,0.0074542982618919,253.258935546875,251.37867279052733,245.8470980834961,58.36123334957519,2.1250750757791934,2.427134153631231,0.007368096200728082
2019-03-27,251.9185333251953,279.6499938964844,281.760009765625,277.92999267578125,281.1099853515625,72224700,252.8733062744141,1,-0.0052290489625022,252.91663208007813,251.454093170166,246.26830810546875,54.49777896163412,1.9282375136732528,2.3273548256396355,0.00747957412057893
2019-03-28,252.8733062744141,280.7099914550781,281.2099914550781,279.07000732421875,280.3500061035156,56238500,254.4678955078125,1,0.0037900067796372,252.19234924316407,251.6005729675293,246.6556970214844,56.722319677801686,1.8282100576740845,2.2275258720465256,0.007499254336182785
2019-03-29,254.4678955078125,282.4800109863281,282.8399963378906,281.1400146484375,282.3900146484375,82186800,257.4856262207031,1,0.0063058820121884,252.7742919921875,251.74874877929688,247.0636773681641,60.22019124303303,1.8562103650948811,2.153262770656197,0.00750171051367292
2019-04-01,257.4856262207031,285.8299865722656,286.1600036621094,284.3999938964844,284.70001220703125,77617900,257.61181640625,1,0.0118589840453879,253.99762268066405,252.0935546875,247.49649658203128,65.84614272499262,2.097725188574288,2.142155254239815,0.007832607247712819
2019-04-02,257.61181640625,285.9700012207031,286.2300109863281,285.0899963378906,286.0400085449219,40070400,258.01715087890625,1,0.0004900863298626,254.871435546875,252.46170959472656,247.8690563964844,66.06228794296311,2.2731069575139884,2.168345594894649,0.007809342232162437
2019-04-03,258.01715087890625,286.4200134277344,287.760009765625,285.75,287.32000732421875,68243200,258.7018127441406,1,0.0015734312125537,256.0911590576172,252.9259185791016,248.31429962158208,66.78932446428635,2.416944347436328,2.218065345402985,0.00760547715661243
2019-04-04,258.7018127441406,287.17999267578125,287.4599914550781,286.010009765625,286.7799987792969,48997500,259.953857421875,1,0.0026535517615868,257.2568603515625,253.5284027099609,248.76337036132816,68.03497438555502,2.556710834802317,2.2857944432828514,0.0072146815285075265
2019-04-05,259.953857421875,288.57000732421875,288.6300048828125,287.6000061035156,287.9200134277344,58621700,260.1521301269531,1,0.0048397213164201,258.354052734375,254.2181495666504,249.2349691772461,70.23370228566965,2.736956395095774,2.376026833645436,0.0071563989194573
