scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,approach,dataset_type,model_name,ticker
global,0.4864376130198915,0.54,0.4440789473684211,0.48736462093862815,0.49111577890509406,0.48643593365771987,-0.0177621077545743,0.5012285986049462,134,115,169,135,,0.5404509319721079,individual,lag_1,random_forest,NVDA
global,0.5045207956600362,0.5161290322580645,0.508833922261484,0.5124555160142349,0.5044169611307421,0.5043895227129997,0.008831841978337043,0.5195524146054182,135,135,139,144,,0.5363510180122022,individual,lag_1,random_forest,TSLA
global,0.47377938517179025,0.5171232876712328,0.5016611295681063,0.5092748735244519,0.47106866002214837,0.4710117057680739,-0.05772585621265337,0.463890207245689,111,141,150,151,,0.45779679770536125,individual,lag_1,xgboost,AAPL
global,0.4538878842676311,0.505,0.33223684210526316,0.4007936507936508,0.46732324032974004,0.4495662606127723,-0.0676710779436113,0.49412122172902134,150,99,203,101,,0.5253513447259751,individual,lag_1,xgboost,MSFT
global,0.5009041591320073,0.5786516853932584,0.33881578947368424,0.42738589211618255,0.5188054850982879,0.49253909990424516,0.04005210691286501,0.5242284929190446,174,75,201,103,,0.5533485083271743,individual,lag_1,xgboost,NVDA
global,0.484629294755877,0.4962121212121212,0.4628975265017668,0.4789762340036563,0.48515246695458714,0.4845686178962825,-0.02971724270519071,0.5088470095537234,137,133,152,131,,0.5227965193919143,individual,lag_1,xgboost,TSLA
global,0.5443037974683544,0.5443037974683544,1.0,0.7049180327868853,0.5,0.3524590163934426,0.0,0.5,0,252,0,301,,0.5,joint,base,dummy,AAPL
global,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.3547257876312719,0.0,0.5,0,249,0,304,,0.5,joint,base,dummy,MSFT
global,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.3547257876312719,0.0,0.5,0,249,0,304,,0.5,joint,base,dummy,NVDA
global,0.5117540687160941,0.5117540687160941,1.0,0.6770334928229665,0.5,0.33851674641148327,0.0,0.5,0,270,0,283,,0.5,joint,base,dummy,TSLA
global,0.5099457504520796,0.5315126050420168,0.840531561461794,0.6512226512226512,0.47780546327057954,0.41375722226786055,-0.06385733049602965,0.46189948847756157,29,223,48,253,,0.4684312645330097,joint,base,hist_gradient_boosting,AAPL
global,0.46112115732368897,0.5230769230769231,0.2236842105263158,0.31336405529953915,0.48734411329528643,0.4349558371735791,-0.029697314588543397,0.48912095751426754,187,62,236,68,,0.512740209741799,joint,base,hist_gradient_boosting,MSFT
global,0.5171790235081374,0.5450121654501217,0.7368421052631579,0.6265734265734266,0.4929190445994504,0.4718544882227747,-0.01612847245635408,0.47419282392728807,62,187,80,224,,0.4732674135804906,joint,base,hist_gradient_boosting,NVDA
global,0.5117540687160941,0.5221843003412969,0.5406360424028268,0.53125,0.5110587619421542,0.5109080188679245,0.022150886949630355,0.5133097762073027,130,140,130,153,,0.5262646139496469,joint,base,hist_gradient_boosting,TSLA
global,0.5226039783001808,0.5403050108932462,0.8239202657807309,0.6526315789473685,0.49330933923957176,0.4448128993002738,-0.017742395439241908,0.47458208089437326,41,211,53,248,,0.48310046050836525,joint,base,lightgbm,AAPL
global,0.46473779385171793,0.5294117647058824,0.23684210526315788,0.32727272727272727,0.48990699640667934,0.4414141414141414,-0.02332112019198988,0.47752853519340516,185,64,232,72,,0.48192314506736444,joint,base,lightgbm,MSFT
global,0.5244122965641953,0.5440860215053763,0.8322368421052632,0.657997399219766,0.49041560980765164,0.43879098447635184,-0.02607132686518115,0.49208676812513213,37,212,51,253,,0.49771991683356154,joint,base,lightgbm,NVDA
global,0.5063291139240507,0.5182481751824818,0.5017667844522968,0.5098743267504489,0.506438947781704,0.5063032835938037,0.012874862972864668,0.5154757230728962,138,132,141,142,,0.5380675607896003,joint,base,lightgbm,TSLA
global,0.5298372513562387,0.5386064030131826,0.9501661129568106,0.6875,0.4889719453672942,0.3692974452554745,-0.056202265447373355,0.44945420028476507,7,245,15,286,,0.44353777864010363,joint,base,logistic_regression,AAPL
global,0.5262206148282098,0.541015625,0.9111842105263158,0.678921568627451,0.4837045550623547,0.387736646382691,-0.06188790412772057,0.5219562460367787,14,235,27,277,,0.5296743194958009,joint,base,logistic_regression,MSFT
global,0.5497287522603979,0.5527831094049904,0.9473684210526315,0.6981818181818182,0.5058127245825407,0.40603041087026853,0.024771502884618136,0.5180326569435638,16,233,16,288,,0.5151659416442935,joint,base,logistic_regression,NVDA
