scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,approach,dataset_type,model_name,ticker
outer_fold,0.5380434782608695,0.5727272727272728,0.6237623762376238,0.5971563981042654,0.5287486579983299,0.5278775621094576,0.058349226429008,0.5359656447572467,36,47,38,63,3.0,,individual,base,logistic_regression,NVDA
global,0.5135623869801085,0.5209580838323353,0.6148409893992933,0.5640194489465153,0.5111241984033503,0.5069585997288814,0.022739375363215488,0.5259651878026437,110,160,109,174,,0.5262068958697248,individual,base,logistic_regression,TSLA
outer_fold,0.4972972972972973,0.5087719298245614,0.6105263157894737,0.5550239234449761,0.49415204678362573,0.48869208594609054,-0.012020854558377748,0.5269005847953216,34,56,37,58,1.0,,individual,base,logistic_regression,TSLA
outer_fold,0.5706521739130435,0.5378151260504201,0.7272727272727273,0.6183574879227053,0.5771780303030303,0.5638371290545203,0.16131341295282234,0.5531486742424242,41,55,24,64,2.0,,individual,base,logistic_regression,TSLA
outer_fold,0.47282608695652173,0.5148514851485149,0.52,0.5174129353233831,0.4683333333333334,0.4682873059850448,-0.06339751807463584,0.4985714285714286,35,49,48,52,3.0,,individual,base,logistic_regression,TSLA
global,0.45750452079566006,0.5015105740181269,0.5514950166112956,0.5253164556962026,0.44836655592469543,0.44620253164556967,-0.1049189955632479,0.44128697990824234,87,165,135,166,,0.43600698913638447,individual,base,random_forest,AAPL
outer_fold,0.42162162162162165,0.46226415094339623,0.494949494949495,0.47804878048780486,0.4160793986375382,0.4147819660014782,-0.16923840654123595,0.4149635893821941,29,57,50,49,1.0,,individual,base,random_forest,AAPL
outer_fold,0.44565217391304346,0.4954128440366973,0.5346534653465347,0.5142857142857142,0.43600143146844805,0.43435804701627484,-0.1296152519004786,0.43653823213646664,28,55,47,54,2.0,,individual,base,random_forest,AAPL
outer_fold,0.5054347826086957,0.5431034482758621,0.6237623762376238,0.5806451612903226,0.4926040796850769,0.488998077333903,-0.015248899463584974,0.4565191458904927,30,53,38,63,3.0,,individual,base,random_forest,AAPL
global,0.4719710669077758,0.53,0.34868421052631576,0.42063492063492064,0.48558708518283655,0.4677925433739387,-0.029848047720428515,0.5057863031071654,155,94,198,106,,0.5392195622031887,individual,base,random_forest,MSFT
outer_fold,0.43783783783783786,0.5714285714285714,0.0380952380952381,0.07142857142857142,0.500297619047619,0.33416389811738645,0.0015455082943139837,0.5179761904761904,77,3,101,4,1.0,,individual,base,random_forest,MSFT
outer_fold,0.5217391304347826,0.519774011299435,0.968421052631579,0.6764705882352942,0.506682436428149,0.37990196078431376,0.03491290481076891,0.5084565345949142,4,85,3,92,2.0,,individual,base,random_forest,MSFT
outer_fold,0.45652173913043476,0.625,0.09615384615384616,0.16666666666666666,0.5105769230769232,0.3817204301075269,0.037216572384802714,0.5912259615384615,74,6,94,10,3.0,,individual,base,random_forest,MSFT
global,0.49005424954792043,0.544,0.4473684210526316,0.49097472924187724,0.49476854787571334,0.490052582012243,-0.01045917423168985,0.49696813570069753,135,114,168,136,,0.5279166816298302,individual,base,random_forest,NVDA
outer_fold,0.4756756756756757,0.6363636363636364,0.25688073394495414,0.3660130718954248,0.5231772090777402,0.459504231800247,0.053564281615108934,0.48219459198454856,60,16,81,28,1.0,,individual,base,random_forest,NVDA
outer_fold,0.5163043478260869,0.5146198830409356,0.9361702127659575,0.6641509433962264,0.5069739952718676,0.4000366367466569,0.027209909319300073,0.5670212765957446,7,83,6,88,2.0,,individual,base,random_forest,NVDA
outer_fold,0.4782608695652174,0.5714285714285714,0.19801980198019803,0.29411764705882354,0.5086484552069664,0.4401622718052738,0.021930125285056404,0.5345341763091972,68,15,81,20,3.0,,individual,base,random_forest,NVDA
global,0.5045207956600362,0.5157894736842106,0.519434628975265,0.5176056338028169,0.5041617589320769,0.5041559767527095,0.008325152330122368,0.5097304017798717,132,138,136,147,,0.5204357820846308,individual,base,random_forest,TSLA
outer_fold,0.4864864864864865,0.5,0.6526315789473685,0.5662100456621004,0.4818713450292398,0.46853548640720916,-0.03854809107429511,0.5036257309941521,28,62,33,62,1.0,,individual,base,random_forest,TSLA
outer_fold,0.5108695652173914,0.49137931034482757,0.6477272727272727,0.5588235294117647,0.5165719696969697,0.5050215208034433,0.03430027703759637,0.5411339962121212,37,59,31,57,2.0,,individual,base,random_forest,TSLA
outer_fold,0.5163043478260869,0.6222222222222222,0.28,0.38620689655172413,0.5388095238095238,0.4935518787691356,0.08994857670057198,0.516547619047619,67,17,72,28,3.0,,individual,base,random_forest,TSLA
global,0.484629294755877,0.525,0.5581395348837209,0.5410628019323671,0.4774824658545589,0.4767169679764928,-0.045423583616003196,0.46634235089384585,100,152,133,168,,0.46261608041816604,individual,base,xgboost,AAPL
outer_fold,0.43243243243243246,0.46808510638297873,0.4444444444444444,0.45595854922279794,0.4315245478036176,0.4313691051198736,-0.1366303259933799,0.43258163025604884,36,50,55,44,1.0,,individual,base,xgboost,AAPL
outer_fold,0.5271739130434783,0.553030303030303,0.7227722772277227,0.6266094420600858,0.5059644518668734,0.49108249880782073,0.013182920391947102,0.47894548490993677,24,59,28,73,2.0,,individual,base,xgboost,AAPL
outer_fold,0.4945652173913043,0.5425531914893617,0.504950495049505,0.5230769230769231,0.4934391029464392,0.4927523343708315,-0.013061942588391344,0.4763211260885125,40,43,50,51,3.0,,individual,base,xgboost,AAPL
global,0.4864376130198915,0.5454545454545454,0.39473684210526316,0.4580152671755725,0.49656520820122596,0.4850213792922536,-0.006982861385975627,0.49228492919044603,149,100,184,120,,0.5119291451493181,individual,base,xgboost,MSFT
outer_fold,0.4702702702702703,0.5636363636363636,0.29523809523809524,0.3875,0.4976190476190476,0.4604166666666667,-0.005161397740925092,0.45940476190476187,56,24,74,31,1.0,,individual,base,xgboost,MSFT
