ticker,month,sessions,news,recorded_days,sources,mean_relevance,news_per_session,recorded_day_ratio,approach
AAPL,2025-07,22,103.0,21.0,71.0,0.7037347184466018,4.681818181818182,0.9545454545454546,deduplicated
AAPL,2025-08,21,112.0,19.0,73.0,0.7055665357142857,5.333333333333333,0.9047619047619048,deduplicated
AAPL,2025-09,21,119.0,21.0,86.0,0.7117729075630251,5.666666666666667,1.0,deduplicated
AAPL,2025-10,23,1716.0,23.0,489.0,0.7404620856643357,74.6086956521739,1.0,deduplicated
AAPL,2025-11,19,574.0,19.0,164.0,0.7515935574912892,30.210526315789473,1.0,deduplicated
AAPL,2025-12,20,727.0,20.0,167.0,0.7448660701513068,36.35,1.0,deduplicated
MSFT,2015-01,20,7.0,6.0,7.0,0.7206855714285715,0.35,0.3,deduplicated
MSFT,2015-02,19,6.0,6.0,6.0,0.7308776666666666,0.3157894736842105,0.3157894736842105,deduplicated
MSFT,2015-03,22,12.0,10.0,11.0,0.7185881666666667,0.5454545454545454,0.45454545454545453,deduplicated
MSFT,2015-04,21,15.0,12.0,15.0,0.7796938666666667,0.7142857142857143,0.5714285714285714,deduplicated
MSFT,2015-05,20,10.0,7.0,9.0,0.7981313,0.5,0.35,deduplicated
MSFT,2015-06,22,12.0,8.0,9.0,0.7337487500000001,0.5454545454545454,0.36363636363636365,deduplicated
MSFT,2015-07,22,13.0,10.0,9.0,0.8548028461538462,0.5909090909090909,0.45454545454545453,deduplicated
MSFT,2015-08,21,12.0,10.0,11.0,0.7316241666666667,0.5714285714285714,0.47619047619047616,deduplicated
MSFT,2015-09,21,6.0,6.0,5.0,0.8163298333333332,0.2857142857142857,0.2857142857142857,deduplicated
MSFT,2015-10,22,10.0,10.0,10.0,0.7552825000000001,0.45454545454545453,0.45454545454545453,deduplicated
MSFT,2015-11,20,11.0,6.0,11.0,0.7236198181818182,0.55,0.3,deduplicated
MSFT,2015-12,22,10.0,10.0,8.0,0.6782309,0.45454545454545453,0.45454545454545453,deduplicated
MSFT,2016-01,19,12.0,11.0,11.0,0.7169215000000001,0.631578947368421,0.5789473684210527,deduplicated
MSFT,2016-02,20,12.0,9.0,12.0,0.7165666666666667,0.6,0.45,deduplicated
MSFT,2016-03,22,13.0,9.0,12.0,0.6665532307692307,0.5909090909090909,0.4090909090909091,deduplicated
MSFT,2016-04,21,15.0,12.0,14.0,0.6755192,0.7142857142857143,0.5714285714285714,deduplicated
MSFT,2016-05,21,15.0,8.0,15.0,0.7833393333333334,0.7142857142857143,0.38095238095238093,deduplicated
MSFT,2016-06,22,22.0,11.0,20.0,0.8303983636363637,1.0,0.5,deduplicated
MSFT,2016-07,20,11.0,8.0,10.0,0.7632918181818181,0.55,0.4,deduplicated
MSFT,2016-08,23,19.0,12.0,16.0,0.6657985789473685,0.8260869565217391,0.5217391304347826,deduplicated
MSFT,2016-09,21,18.0,10.0,14.0,0.7491715,0.8571428571428571,0.47619047619047616,deduplicated
MSFT,2016-10,21,20.0,12.0,19.0,0.7914516,0.9523809523809523,0.5714285714285714,deduplicated
MSFT,2016-11,21,11.0,11.0,9.0,0.7207603636363636,0.5238095238095238,0.5238095238095238,deduplicated
MSFT,2016-12,21,19.0,11.0,15.0,0.6856337368421053,0.9047619047619048,0.5238095238095238,deduplicated
MSFT,2017-01,20,28.0,16.0,20.0,0.69704,1.4,0.8,deduplicated
MSFT,2017-02,19,22.0,12.0,22.0,0.6522351818181819,1.1578947368421053,0.631578947368421,deduplicated
MSFT,2017-03,23,20.0,15.0,17.0,0.6908133999999999,0.8695652173913043,0.6521739130434783,deduplicated
MSFT,2017-04,19,15.0,12.0,15.0,0.6942408666666666,0.7894736842105263,0.631578947368421,deduplicated
MSFT,2017-05,22,16.0,12.0,15.0,0.7025913125,0.7272727272727273,0.5454545454545454,deduplicated
MSFT,2017-06,22,18.0,14.0,18.0,0.6707727777777778,0.8181818181818182,0.6363636363636364,deduplicated
MSFT,2017-07,20,18.0,12.0,16.0,0.7501058888888888,0.9,0.6,deduplicated
MSFT,2017-08,23,24.0,16.0,23.0,0.6768705833333333,1.0434782608695652,0.6956521739130435,deduplicated
MSFT,2017-09,20,14.0,11.0,14.0,0.6844172142857143,0.7,0.55,deduplicated
MSFT,2017-10,22,19.0,11.0,17.0,0.6895044736842105,0.8636363636363636,0.5,deduplicated
MSFT,2017-11,21,24.0,13.0,21.0,0.7197612916666666,1.1428571428571428,0.6190476190476191,deduplicated
MSFT,2017-12,20,28.0,11.0,14.0,0.6866821071428572,1.4,0.55,deduplicated
MSFT,2018-01,21,16.0,10.0,14.0,0.697323875,0.7619047619047619,0.47619047619047616,deduplicated
MSFT,2018-02,19,22.0,15.0,19.0,0.6701153181818182,1.1578947368421053,0.7894736842105263,deduplicated
MSFT,2018-03,21,17.0,11.0,17.0,0.6996287647058823,0.8095238095238095,0.5238095238095238,deduplicated
MSFT,2018-04,21,21.0,11.0,15.0,0.6607989999999999,1.0,0.5238095238095238,deduplicated
MSFT,2018-05,22,10.0,7.0,10.0,0.6596865000000001,0.45454545454545453,0.3181818181818182,deduplicated
MSFT,2018-06,21,30.0,17.0,28.0,0.6840301,1.4285714285714286,0.8095238095238095,deduplicated
MSFT,2018-07,21,18.0,12.0,16.0,0.7322993888888889,0.8571428571428571,0.5714285714285714,deduplicated
MSFT,2018-08,23,20.0,15.0,20.0,0.6336063000000001,0.8695652173913043,0.6521739130434783,deduplicated
MSFT,2018-09,19,18.0,13.0,16.0,0.6686572222222222,0.9473684210526315,0.6842105263157895,deduplicated
MSFT,2018-10,23,39.0,16.0,24.0,0.6736736923076924,1.6956521739130435,0.6956521739130435,deduplicated
MSFT,2018-11,21,20.0,13.0,20.0,0.6790832,0.9523809523809523,0.6190476190476191,deduplicated
MSFT,2018-12,19,14.0,10.0,13.0,0.6688074285714285,0.7368421052631579,0.5263157894736842,deduplicated
MSFT,2019-01,21,25.0,16.0,23.0,0.7094454,1.1904761904761905,0.7619047619047619,deduplicated
MSFT,2019-02,19,22.0,10.0,21.0,0.711807590909091,1.1578947368421053,0.5263157894736842,deduplicated
MSFT,2019-03,21,24.0,13.0,24.0,0.6493149583333333,1.1428571428571428,0.6190476190476191,deduplicated
MSFT,2019-04,21,27.0,14.0,26.0,0.7489747777777778,1.2857142857142858,0.6666666666666666,deduplicated
MSFT,2019-05,22,28.0,13.0,25.0,0.72057475,1.2727272727272727,0.5909090909090909,deduplicated
MSFT,2019-06,20,32.0,14.0,28.0,0.66534003125,1.6,0.7,deduplicated
MSFT,2019-07,22,30.0,15.0,25.0,0.7682153666666667,1.3636363636363635,0.6818181818181818,deduplicated
MSFT,2019-08,22,26.0,17.0,23.0,0.7668235,1.1818181818181819,0.7727272727272727,deduplicated
MSFT,2019-09,20,25.0,14.0,23.0,0.7189401599999999,1.25,0.7,deduplicated
MSFT,2019-10,23,32.0,18.0,30.0,0.7103046562499999,1.391304347826087,0.782608695652174,deduplicated
MSFT,2019-11,20,32.0,12.0,19.0,0.8071436562500001,1.6,0.6,deduplicated
MSFT,2019-12,21,25.0,14.0,18.0,0.70987996,1.1904761904761905,0.6666666666666666,deduplicated
MSFT,2020-01,21,38.0,15.0,36.0,0.7164023684210526,1.8095238095238095,0.7142857142857143,deduplicated
MSFT,2020-02,19,31.0,16.0,28.0,0.7203874516129033,1.631578947368421,0.8421052631578947,deduplicated
MSFT,2020-03,22,23.0,15.0,21.0,0.6957225217391304,1.0454545454545454,0.6818181818181818,deduplicated
MSFT,2020-04,21,18.0,12.0,18.0,0.6980690555555555,0.8571428571428571,0.5714285714285714,deduplicated
MSFT,2020-05,20,35.0,17.0,29.0,0.750533,1.75,0.85,deduplicated
MSFT,2020-06,22,29.0,17.0,26.0,0.6388426206896551,1.3181818181818181,0.7727272727272727,deduplicated
