dataset_type,model_name,scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,std_outer_auc
hybrid,hist_gradient_boosting,global,0.46835443037974683,0.5117845117845118,0.5049833887043189,0.5083612040133779,0.4647932816537468,0.4648105232665315,-0.07033003806476541,0.47093023255813954,107,145,149,152,,0.4724901508550034,0.0334472276312348
hybrid,hist_gradient_boosting,ticker,0.46835443037974683,0.5117845117845118,0.5049833887043189,0.5083612040133779,0.4647932816537468,0.4648105232665315,-0.07033003806476541,0.47093023255813954,107,145,149,152,AAPL,,
hybrid,hist_gradient_boosting,year,0.5471698113207547,0.5833333333333334,0.5,0.5384615384615384,0.55,0.5470085470085471,0.10028694463571923,0.5628571428571428,15,10,14,14,2023,,
hybrid,hist_gradient_boosting,year,0.44047619047619047,0.5039370078740157,0.4507042253521127,0.4758364312267658,0.43898847631242,0.4379182156133829,-0.12103905227732266,0.4224391805377721,47,63,78,64,2024,,
hybrid,hist_gradient_boosting,year,0.4798387096774194,0.5068493150684932,0.5648854961832062,0.5342960288808665,0.47475044039929537,0.47262746649522774,-0.051231358029242856,0.5079271873165003,45,72,57,74,2025,,
hybrid,hist_gradient_boosting,outer_fold,0.4648648648648649,0.5,0.45454545454545453,0.47619047619047616,0.4656448202959831,0.4646145751118127,-0.06856555343167432,0.43774958891237964,41,45,54,45,1,,
hybrid,hist_gradient_boosting,outer_fold,0.4673913043478261,0.514018691588785,0.5445544554455446,0.5288461538461539,0.4590242156745795,0.45817307692307696,-0.08266463501205278,0.4752475247524752,31,52,46,55,2,,
hybrid,hist_gradient_boosting,outer_fold,0.47282608695652173,0.52,0.5148514851485149,0.5174129353233831,0.46826911606823335,0.4682873059850448,-0.06339751807463584,0.5044733389001551,35,48,49,52,3,,
hybrid,lightgbm,global,0.44665461121157324,0.4901185770750988,0.4119601328903654,0.44765342960288806,0.45002768549280175,0.44665280175796573,-0.09991302097153945,0.43551916890787323,123,129,177,124,,0.43517715458853257,0.008201639365079682
hybrid,lightgbm,ticker,0.44665461121157324,0.4901185770750988,0.4119601328903654,0.44765342960288806,0.45002768549280175,0.44665280175796573,-0.09991302097153945,0.43551916890787323,123,129,177,124,AAPL,,
hybrid,lightgbm,year,0.5471698113207547,0.5769230769230769,0.5357142857142857,0.5555555555555556,0.5478571428571428,0.5470085470085471,0.09557784332743721,0.5671428571428572,14,11,13,15,2023,,
hybrid,lightgbm,year,0.4126984126984127,0.47115384615384615,0.34507042253521125,0.3983739837398374,0.4225352112676056,0.4123652864435621,-0.15607283666495536,0.41043533930857873,55,55,93,49,2024,,
hybrid,lightgbm,year,0.4596774193548387,0.4878048780487805,0.4580152671755725,0.47244094488188976,0.45977686435701703,0.4593609683087135,-0.08032059845580664,0.44627128596594245,54,63,71,60,2025,,
hybrid,lightgbm,outer_fold,0.4594594594594595,0.4943820224719101,0.4444444444444444,0.46808510638297873,0.460594315245478,0.4593172784662146,-0.07867288518221668,0.4330514446793517,41,45,55,44,1,,
hybrid,lightgbm,outer_fold,0.44021739130434784,0.4868421052631579,0.36633663366336633,0.4180790960451977,0.4482285577955386,0.4394060401691957,-0.10464086432048864,0.4442323750447334,44,39,64,37,2,,
hybrid,lightgbm,outer_fold,0.44021739130434784,0.48863636363636365,0.42574257425742573,0.455026455026455,0.44178694977931526,0.4398037303065236,-0.11597733685780126,0.42824764404151255,38,45,58,43,3,,
hybrid,logistic_regression,global,0.5045207956600362,0.5358090185676393,0.6710963455149501,0.5958702064896755,0.48832595053525285,0.4778416453009125,-0.02496364706944988,0.4458287190845331,77,175,99,202,,0.4407825157223857,0.010436210156431428
hybrid,logistic_regression,ticker,0.5045207956600362,0.5358090185676393,0.6710963455149501,0.5958702064896755,0.48832595053525285,0.4778416453009125,-0.02496364706944988,0.4458287190845331,77,175,99,202,AAPL,,
hybrid,logistic_regression,year,0.5471698113207547,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.5285714285714286,0.48039215686274506,0.07597371763975863,0.562857142857143,5,20,4,24,2023,,
hybrid,logistic_regression,year,0.5158730158730159,0.5531914893617021,0.7323943661971831,0.6303030303030303,0.4843790012804097,0.46457680250783695,-0.03559675386181553,0.4219590268886044,26,84,38,104,2024,,
hybrid,logistic_regression,year,0.4838709677419355,0.5103448275862069,0.5648854961832062,0.5362318840579711,0.47902394467279963,0.4772068511198946,-0.04249910466043623,0.43713707835845245,46,71,57,74,2025,,
hybrid,logistic_regression,outer_fold,0.5135135135135135,0.5314685314685315,0.7676767676767676,0.628099173553719,0.4943035001174536,0.4624870867768595,-0.013564764159724923,0.43328635189100306,19,67,23,76,1,,
hybrid,logistic_regression,outer_fold,0.5,0.5338345864661654,0.7029702970297029,0.6068376068376068,0.477991172611237,0.46013522132925117,-0.048934564155165755,0.43635929858046046,21,62,30,71,2,,
hybrid,logistic_regression,outer_fold,0.5,0.5445544554455446,0.5445544554455446,0.5445544554455446,0.49516879398783253,0.49516879398783253,-0.009662412024334963,0.4527018966956936,37,46,46,55,3,,
hybrid,random_forest,global,0.47739602169981915,0.5174418604651163,0.5913621262458472,0.5519379844961241,0.4663159837578442,0.4625199683868907,-0.06919664171947645,0.4413726731002479,86,166,123,178,,0.43851113886956083,0.02395212092459177
hybrid,random_forest,ticker,0.47739602169981915,0.5174418604651163,0.5913621262458472,0.5519379844961241,0.4663159837578442,0.4625199683868907,-0.06919664171947645,0.4413726731002479,86,166,123,178,AAPL,,
hybrid,random_forest,year,0.5660377358490566,0.5641025641025641,0.7857142857142857,0.6567164179104478,0.5528571428571428,0.533486414083429,0.11969785789528584,0.55,8,17,6,22,2023,,
hybrid,random_forest,year,0.4444444444444444,0.5064102564102564,0.5563380281690141,0.5302013422818792,0.428169014084507,0.4252948458982212,-0.14671834589700056,0.3949423815620998,33,77,63,79,2024,,
hybrid,random_forest,year,0.49193548387096775,0.5167785234899329,0.5877862595419847,0.55,0.48620082207868465,0.4833333333333334,-0.02813202904751931,0.46682325308279504,45,72,54,77,2025,,
hybrid,random_forest,outer_fold,0.4486486486486487,0.4883720930232558,0.6363636363636364,0.5526315789473685,0.43446088794926,0.4171608598962194,-0.1423011805378105,0.4189570119802678,20,66,36,63,1,,
hybrid,random_forest,outer_fold,0.483695652173913,0.5288461538461539,0.5445544554455446,0.5365853658536586,0.477096504831206,0.476881639982044,-0.045980091178810786,0.4313491590122868,34,49,46,55,2,,
hybrid,random_forest,outer_fold,0.5,0.5405405405405406,0.594059405940594,0.5660377358490566,0.4898007873076464,0.4881470730527334,-0.02074786711874643,0.4652272456161278,32,51,41,60,3,,
hybrid,xgboost,global,0.4484629294755877,0.4937106918238994,0.521594684385382,0.5072697899838449,0.4413528977482466,0.44049321121368834,-0.1181714545615515,0.4507461899488477,91,161,144,157,,0.4525811178297245,0.01548617790719612
hybrid,xgboost,ticker,0.4484629294755877,0.4937106918238994,0.521594684385382,0.5072697899838449,0.4413528977482466,0.44049321121368834,-0.1181714545615515,0.4507461899488477,91,161,144,157,AAPL,,
hybrid,xgboost,year,0.5471698113207547,0.5588235294117647,0.6785714285714286,0.6129032258064516,0.5392857142857144,0.533724340175953,0.0817894731149928,0.5514285714285714,10,15,9,19,2023,,
hybrid,xgboost,year,0.44047619047619047,0.5032258064516129,0.5492957746478874,0.5252525252525253,0.42464788732394365,0.4220465524813351,-0.153608138969772,0.4199743918053777,33,77,64,78,2024,,
hybrid,xgboost,year,0.43548387096774194,0.46511627906976744,0.4580152671755725,0.46153846153846156,0.4341358387159914,0.43415906127770537,-0.13162530920127988,0.45592744829386045,48,69,71,60,2025,,
