dataset_type,model_name,outer_fold,params,inner_mean_auc,train_rows,test_rows,train_end,train_target_end,test_start,test_end,ticker
base,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.4995662819760175,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,NVDA
hybrid,logistic_regression,2,"{""model__C"": 10.0}",0.5078718614076992,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,NVDA
hybrid,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5053520413061712,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,NVDA
hybrid,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5188102355725147,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,NVDA
hybrid,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.4969481278694682,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,NVDA
hybrid,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5046415542275396,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,NVDA
lag_1,logistic_regression,2,"{""model__C"": 10.0}",0.5018275784331875,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,NVDA
lag_1,random_forest,2,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5039845445482088,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,NVDA
lag_1,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5119387630023662,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,NVDA
lag_1,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5049680806333969,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,NVDA
lag_1,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5009384275294139,2395,184,2024-07-10,2024-07-11,2024-07-12,2025-04-04,NVDA
base,dummy,3,{},0.5,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,NVDA
base,logistic_regression,3,"{""model__C"": 0.1}",0.5155233361572481,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,NVDA
base,random_forest,3,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5069349241543173,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,NVDA
base,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5134341197754032,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,NVDA
base,xgboost,3,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5041807974060529,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,NVDA
base,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5067534911685394,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,NVDA
hybrid,logistic_regression,3,"{""model__C"": 10.0}",0.5059755735622091,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,NVDA
hybrid,random_forest,3,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.500599975962177,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,NVDA
hybrid,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5189203400688207,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,NVDA
hybrid,xgboost,3,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5006658410329451,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,NVDA
hybrid,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5035734519104323,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,NVDA
lag_1,logistic_regression,3,"{""model__C"": 10.0}",0.501874510927288,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,NVDA
lag_1,random_forest,3,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.4855262713935588,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,NVDA
lag_1,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.516440150049927,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,NVDA
lag_1,xgboost,3,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.4939353458212439,2579,184,2025-04-03,2025-04-04,2025-04-07,2025-12-29,NVDA
