ticker,trading_date,sentiment_mean,sentiment_median,sentiment_min,sentiment_max,news_count,non_trading_news_count,negative_news_count,neutral_news_count,positive_news_count,positive_news_ratio,negative_news_ratio,neutral_news_ratio
MSFT,2016-05-06,0.040034,0.040034,0.040034,0.040034,1,0,0,1,0,0.0,0.0,1.0
MSFT,2016-05-16,-0.126464,-0.126464,-0.126464,-0.126464,1,0,0,1,0,0.0,0.0,1.0
MSFT,2016-05-18,0.20448425,0.19344499999999998,-0.205528,0.636575,4,0,1,0,3,0.75,0.25,0.0
MSFT,2016-05-20,0.324314,0.316435,0.234605,0.421902,3,0,0,0,3,1.0,0.0,0.0
MSFT,2016-05-23,0.54157,0.54157,0.54157,0.54157,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-06-06,0.137189,0.137189,0.137189,0.137189,1,1,0,1,0,0.0,0.0,1.0
MSFT,2016-06-07,0.20113,0.20113,0.124699,0.277561,2,0,0,1,1,0.5,0.0,0.5
MSFT,2016-06-09,0.2133215,0.2133215,0.144602,0.282041,2,0,0,1,1,0.5,0.0,0.5
MSFT,2016-06-13,0.3834596,0.435338,0.27355,0.445048,5,0,0,0,5,1.0,0.0,0.0
MSFT,2016-06-14,0.325922,0.34829849999999996,0.152095,0.454996,4,0,0,0,4,1.0,0.0,0.0
MSFT,2016-06-16,0.113875,0.038856,-0.136913,0.439682,3,0,0,2,1,0.3333333333333333,0.0,0.6666666666666666
MSFT,2016-06-23,0.464649,0.464649,0.464649,0.464649,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-06-27,0.234405,0.234405,0.234405,0.234405,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-06-28,0.2422705,0.2422705,0.143338,0.341203,2,0,0,1,1,0.5,0.0,0.5
MSFT,2016-06-29,0.1094,0.1094,0.1094,0.1094,1,0,0,1,0,0.0,0.0,1.0
MSFT,2016-07-06,0.323814,0.323814,0.323814,0.323814,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-07-07,0.11729400000000001,0.11729400000000001,0.109252,0.125336,2,0,0,2,0,0.0,0.0,1.0
MSFT,2016-07-11,0.2458185,0.2458185,0.090744,0.400893,2,1,0,1,1,0.5,0.0,0.5
MSFT,2016-07-12,-0.324742,-0.324742,-0.324742,-0.324742,1,0,1,0,0,0.0,1.0,0.0
MSFT,2016-07-18,0.414989,0.414989,0.414989,0.414989,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-07-20,0.108477,0.108477,0.108477,0.108477,1,0,0,1,0,0.0,0.0,1.0
MSFT,2016-07-21,0.31165299999999996,0.31165299999999996,0.286224,0.337082,2,0,0,0,2,1.0,0.0,0.0
MSFT,2016-07-25,0.115287,0.115287,0.115287,0.115287,1,0,0,1,0,0.0,0.0,1.0
MSFT,2016-08-01,0.15157966666666667,0.132173,-0.124581,0.447147,3,1,0,2,1,0.3333333333333333,0.0,0.6666666666666666
MSFT,2016-08-04,0.20806033333333332,0.16513,0.142151,0.3169,3,0,0,1,2,0.6666666666666666,0.0,0.3333333333333333
MSFT,2016-08-05,0.339351,0.339351,0.339351,0.339351,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-08-11,0.119369,0.119369,0.119369,0.119369,1,0,0,1,0,0.0,0.0,1.0
MSFT,2016-08-12,0.309137,0.309137,0.304144,0.31413,2,0,0,0,2,1.0,0.0,0.0
MSFT,2016-08-15,0.3097955,0.3097955,0.301633,0.317958,2,0,0,0,2,1.0,0.0,0.0
MSFT,2016-08-16,0.335784,0.335784,0.335784,0.335784,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-08-17,0.07987199999999998,0.07987199999999998,-0.125401,0.285145,2,0,0,1,1,0.5,0.0,0.5
MSFT,2016-08-18,0.438986,0.438986,0.438986,0.438986,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-08-19,0.111291,0.111291,0.111291,0.111291,1,0,0,1,0,0.0,0.0,1.0
MSFT,2016-08-23,0.318431,0.318431,0.318431,0.318431,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-08-29,0.10751,0.10751,0.10751,0.10751,1,1,0,1,0,0.0,0.0,1.0
MSFT,2016-09-08,0.015252000000000002,0.015252000000000002,-0.110346,0.14085,2,0,0,2,0,0.0,0.0,1.0
MSFT,2016-09-12,0.2948385,0.22160999999999997,0.106971,0.629163,4,0,0,2,2,0.5,0.0,0.5
MSFT,2016-09-15,0.2313395,0.2313395,0.040667,0.422012,2,0,0,1,1,0.5,0.0,0.5
MSFT,2016-09-19,-0.029761999999999997,-0.029761999999999997,-0.114312,0.054788,2,1,0,2,0,0.0,0.0,1.0
MSFT,2016-09-21,0.26473,0.26473,0.26473,0.26473,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-09-22,0.201021,0.201021,0.201021,0.201021,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-09-26,0.20313299999999998,0.20313299999999998,0.100091,0.306175,2,1,0,1,1,0.5,0.0,0.5
MSFT,2016-09-27,0.428134,0.428134,0.428134,0.428134,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-09-28,0.09785150000000001,0.09785150000000001,-0.147239,0.342942,2,0,0,1,1,0.5,0.0,0.5
MSFT,2016-09-29,0.412701,0.412701,0.412701,0.412701,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-10-03,0.313153,0.313153,0.216668,0.409638,2,1,0,0,2,1.0,0.0,0.0
MSFT,2016-10-04,0.430669,0.430669,0.430669,0.430669,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-10-05,-0.345553,-0.345553,-0.345553,-0.345553,1,0,1,0,0,0.0,1.0,0.0
MSFT,2016-10-11,0.215743,0.215743,0.215743,0.215743,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-10-17,0.389166,0.389166,0.311797,0.466535,2,0,0,0,2,1.0,0.0,0.0
MSFT,2016-10-18,0.22103050000000002,0.22103050000000002,0.107582,0.334479,2,0,0,1,1,0.5,0.0,0.5
MSFT,2016-10-20,0.326083,0.326083,0.326083,0.326083,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-10-21,0.4333635,0.4333635,0.407861,0.458866,2,0,0,0,2,1.0,0.0,0.0
MSFT,2016-10-26,0.30335466666666666,0.329821,0.130735,0.449508,3,0,0,1,2,0.6666666666666666,0.0,0.3333333333333333
MSFT,2016-10-27,0.19643566666666668,0.106468,0.063304,0.419535,3,0,0,2,1,0.3333333333333333,0.0,0.6666666666666666
MSFT,2016-10-28,0.101952,0.101952,0.101952,0.101952,1,0,0,1,0,0.0,0.0,1.0
MSFT,2016-10-31,0.157073,0.157073,0.157073,0.157073,1,1,0,0,1,1.0,0.0,0.0
MSFT,2016-11-01,0.344337,0.344337,0.344337,0.344337,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-11-02,0.30971,0.30971,0.30971,0.30971,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-11-03,0.103488,0.103488,0.103488,0.103488,1,0,0,1,0,0.0,0.0,1.0
MSFT,2016-11-07,0.120408,0.120408,0.120408,0.120408,1,1,0,1,0,0.0,0.0,1.0
MSFT,2016-11-08,0.105843,0.105843,0.105843,0.105843,1,0,0,1,0,0.0,0.0,1.0
MSFT,2016-11-09,0.452512,0.452512,0.452512,0.452512,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-11-15,0.412512,0.412512,0.412512,0.412512,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-11-16,0.146801,0.146801,0.146801,0.146801,1,0,0,1,0,0.0,0.0,1.0
MSFT,2016-11-21,-0.090307,-0.090307,-0.090307,-0.090307,1,0,0,1,0,0.0,0.0,1.0
MSFT,2016-11-29,-0.203597,-0.203597,-0.203597,-0.203597,1,0,1,0,0,0.0,1.0,0.0
MSFT,2016-11-30,0.25606,0.25606,0.25606,0.25606,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-12-01,0.14289625,0.21777000000000002,-0.283663,0.419708,4,0,1,1,2,0.5,0.25,0.25
MSFT,2016-12-05,0.164738,0.164738,0.107887,0.221589,2,0,0,1,1,0.5,0.0,0.5
MSFT,2016-12-06,0.235278,0.235278,0.134456,0.3361,2,0,0,1,1,0.5,0.0,0.5
MSFT,2016-12-07,0.107962,0.107962,0.107962,0.107962,1,0,0,1,0,0.0,0.0,1.0
MSFT,2016-12-09,0.012531,0.012531,0.012531,0.012531,1,0,0,1,0,0.0,0.0,1.0
MSFT,2016-12-14,0.26835333333333333,0.420356,-0.105945,0.490649,3,0,0,1,2,0.6666666666666666,0.0,0.3333333333333333
MSFT,2016-12-21,0.128898,0.128898,0.128898,0.128898,1,0,0,1,0,0.0,0.0,1.0
MSFT,2016-12-22,0.333206,0.333206,0.333206,0.333206,1,0,0,0,1,1.0,0.0,0.0
MSFT,2016-12-23,0.141509,0.141509,0.141509,0.141509,1,0,0,1,0,0.0,0.0,1.0
MSFT,2016-12-28,0.146187,0.146187,0.146187,0.146187,1,0,0,1,0,0.0,0.0,1.0
MSFT,2016-12-29,0.2821015,0.2821015,0.104081,0.460122,2,0,0,1,1,0.5,0.0,0.5
MSFT,2017-01-03,0.174586,0.174586,0.174586,0.174586,1,0,0,0,1,1.0,0.0,0.0
MSFT,2017-01-04,0.004051,0.004051,0.004051,0.004051,1,0,0,1,0,0.0,0.0,1.0
MSFT,2017-01-05,0.09674,0.09674,0.09674,0.09674,1,0,0,1,0,0.0,0.0,1.0
MSFT,2017-01-06,0.242863,0.242863,0.128347,0.357379,2,0,0,1,1,0.5,0.0,0.5
MSFT,2017-01-09,0.124809,0.124809,0.124809,0.124809,1,0,0,1,0,0.0,0.0,1.0
MSFT,2017-01-10,0.10491600000000001,0.10491600000000001,0.079754,0.130078,2,0,0,2,0,0.0,0.0,1.0
MSFT,2017-01-11,0.328566,0.328566,0.328566,0.328566,1,0,0,0,1,1.0,0.0,0.0
MSFT,2017-01-12,0.15858699999999998,0.085688,0.014641,0.448331,4,0,0,3,1,0.25,0.0,0.75
MSFT,2017-01-13,0.326117,0.326128,0.116722,0.535501,3,0,0,1,2,0.6666666666666666,0.0,0.3333333333333333
MSFT,2017-01-17,-0.189969,-0.189969,-0.189969,-0.189969,1,1,1,0,0,0.0,1.0,0.0
MSFT,2017-01-18,0.070379,0.070379,3.1e-05,0.140727,2,0,0,2,0,0.0,0.0,1.0
MSFT,2017-01-23,0.415218,0.415218,0.415218,0.415218,1,1,0,0,1,1.0,0.0,0.0
MSFT,2017-01-24,0.428424,0.428424,0.428424,0.428424,1,0,0,0,1,1.0,0.0,0.0
MSFT,2017-01-25,0.301629,0.301629,0.301629,0.301629,1,0,0,0,1,1.0,0.0,0.0
MSFT,2017-01-26,0.302843,0.302843,0.302843,0.302843,1,0,0,0,1,1.0,0.0,0.0
MSFT,2017-01-30,0.2185795,0.2150185,0.10915,0.335131,4,3,0,2,2,0.5,0.0,0.5
MSFT,2017-01-31,0.290495,0.290495,0.290495,0.290495,1,0,0,0,1,1.0,0.0,0.0
MSFT,2017-02-03,0.24094175,0.244429,0.058752,0.416157,4,0,0,1,3,0.75,0.0,0.25
MSFT,2017-02-06,0.301018,0.301018,0.301018,0.301018,1,1,0,0,1,1.0,0.0,0.0
MSFT,2017-02-07,0.1615845,0.1615845,0.115962,0.207207,2,0,0,1,1,0.5,0.0,0.5
MSFT,2017-02-09,0.31107,0.31107,0.31107,0.31107,1,0,0,0,1,1.0,0.0,0.0
MSFT,2017-02-16,0.436389,0.436389,0.436389,0.436389,1,0,0,0,1,1.0,0.0,0.0
MSFT,2017-02-17,0.073125,0.073125,0.037143,0.109107,2,0,0,2,0,0.0,0.0,1.0
MSFT,2017-02-21,0.123122,0.123122,0.123122,0.123122,1,0,0,1,0,0.0,0.0,1.0
MSFT,2017-02-22,0.128127,0.128127,0.128127,0.128127,1,0,0,1,0,0.0,0.0,1.0
MSFT,2017-02-23,0.289325,0.145633,0.112328,0.610014,3,0,0,2,1,0.3333333333333333,0.0,0.6666666666666666
MSFT,2017-02-24,0.137412,0.137412,0.137412,0.137412,1,0,0,1,0,0.0,0.0,1.0
MSFT,2017-02-27,0.21164299999999997,0.21164299999999997,0.110729,0.312557,2,0,0,1,1,0.5,0.0,0.5
MSFT,2017-02-28,0.16685166666666665,0.146511,0.11855,0.235494,3,0,0,2,1,0.3333333333333333,0.0,0.6666666666666666
MSFT,2017-03-01,0.112987,0.112987,0.112987,0.112987,1,0,0,1,0,0.0,0.0,1.0
