approach,dataset_type,model_name,roc_auc,mean_outer_auc,accuracy,balanced_accuracy,f1_macro,mcc
enhanced,lag_1,logistic_regression,0.496009488900194,0.49982941002995096,0.5,0.49157680625349015,0.4844430153542535,-0.017926961758431132
enhanced,lag_1,random_forest,0.5068378865334845,0.5125210576702108,0.5262206148282098,0.5019180288707156,0.4542832949104438,-0.0005780348293705595
macro,base,dummy,0.5,0.5,0.538878842676311,0.5,0.3501068345168674,0.0
macro,base,hist_gradient_boosting,0.5029973620534568,0.501546587896052,0.5280289330922242,0.5041126305295333,0.4662652289950343,0.00985381147392194
macro,base,logistic_regression,0.5019095560972626,0.5043217906997566,0.5397830018083183,0.5043787591542865,0.39747205172088546,0.01735180620417807
macro,base,random_forest,0.5068032284624573,0.5087328682270568,0.5352622061482821,0.50264808127562,0.41688933802848804,0.005207091611895062
macro,hybrid,hist_gradient_boosting,0.5066309031193538,0.5071030212386409,0.5235081374321882,0.5088691569312,0.4974286892727364,0.01842595849282862
macro,hybrid,logistic_regression,0.4971441702008421,0.501690096584338,0.5045207956600362,0.49512184638599455,0.4865950887529316,-0.01109096566382202
macro,hybrid,random_forest,0.5101261388504239,0.5160209947189602,0.5293851717902351,0.5034880464323748,0.45045450132170795,0.004819605753904544
macro,lag_1,hist_gradient_boosting,0.4991493986645298,0.5002952546004609,0.5122061482820977,0.49560457582563855,0.4767337008779189,-0.012560647254898423
macro,lag_1,logistic_regression,0.496009488900194,0.49982941002995096,0.5,0.49157680625349015,0.4844430153542535,-0.017926961758431132
macro,lag_1,random_forest,0.5068378865334845,0.5125210576702108,0.5262206148282098,0.5019180288707156,0.4542832949104438,-0.0005780348293705595
reference,base,dummy,0.5,0.5,0.538878842676311,0.5,0.3501068345168674,0.0
reference,base,hist_gradient_boosting,0.5029973620534568,0.501546587896052,0.5280289330922242,0.5041126305295333,0.4662652289950343,0.00985381147392194
reference,base,logistic_regression,0.5019095560972626,0.5043217906997566,0.5397830018083183,0.5043787591542865,0.39747205172088546,0.01735180620417807
reference,base,random_forest,0.5068032284624573,0.5087328682270568,0.5352622061482821,0.50264808127562,0.41688933802848804,0.005207091611895062
reference,hybrid,hist_gradient_boosting,0.5127267125239997,0.5101842964661434,0.5162748643761302,0.5031430402388666,0.48884053181631304,0.006447653732859144
reference,hybrid,logistic_regression,0.5000240964569411,0.5044755806602335,0.5036166365280289,0.499435962771559,0.48658296214224483,-0.003080636130094087
reference,hybrid,random_forest,0.5112399749326514,0.5173782383001869,0.5194394213381555,0.5075547645960684,0.49279482299921296,0.013940182162246954
reference,lag_1,hist_gradient_boosting,0.5024147040705405,0.5024164017340291,0.515370705244123,0.5005225245146945,0.483137423177983,-0.0013123730759432746
reference,lag_1,logistic_regression,0.4998163834989342,0.5044467722274693,0.5004520795660037,0.4964356256876833,0.48367106504633184,-0.009329839957242516
reference,lag_1,random_forest,0.5098991893908533,0.5125888226686754,0.515370705244123,0.5012460107234639,0.4814368812506713,-0.0009804403699767074
tuned,base,dummy,0.5,0.5,0.538878842676311,0.5,0.3501068345168674,0.0
tuned,base,hist_gradient_boosting,0.5008418398610788,0.4981218436807527,0.5198915009041591,0.5018885578302635,0.4824458353699496,0.0031236635504596844
tuned,base,logistic_regression,0.4950325139726742,0.4907778885534339,0.5257685352622061,0.4954890504380828,0.42080471949898113,-0.011653715806046844
tuned,base,random_forest,0.5025082689389277,0.5027204514560155,0.5108499095840868,0.4994447237396421,0.49411563331783864,-0.0009291679449693526
tuned,hybrid,hist_gradient_boosting,0.5080536664456359,0.5123565571483056,0.5122061482820977,0.5066508723674541,0.5045751065986158,0.013140901278964032
tuned,hybrid,logistic_regression,0.4896831162288559,0.4942691568566208,0.5009041591320073,0.4924052649440851,0.4864381586129854,-0.015158920006925414
tuned,hybrid,random_forest,0.5068585548390144,0.5099812980077874,0.5131103074141049,0.49369095223881176,0.46856822076353577,-0.015847266180515726
tuned,lag_1,hist_gradient_boosting,0.5034136073517856,0.508214653535037,0.4995479204339964,0.49100512267434837,0.48683250076381973,-0.018851980274659827
tuned,lag_1,logistic_regression,0.4893705552042551,0.4937405624967893,0.5036166365280289,0.4963228706266995,0.49081441815259863,-0.007651059129593994
tuned,lag_1,random_forest,0.506094158920765,0.5069097682005469,0.5176311030741411,0.5080759961352309,0.502245160855594,0.016436871814790536
window_3y,base,dummy,0.5,0.5,0.538878842676311,0.5,0.3501068345168674,0.0
window_3y,base,hist_gradient_boosting,0.4981371546790054,0.4977974710994808,0.5054249547920434,0.4966823694589553,0.49353004863818706,-0.006537923696630676
window_3y,base,logistic_regression,0.49022359750597305,0.4968609491293877,0.5167269439421338,0.4911448092003377,0.4355848428290982,-0.020335830588213977
window_3y,base,random_forest,0.5027685597824907,0.5029413583605158,0.5063291139240507,0.49557427877095195,0.4905104908121577,-0.009724903017410198
window_3y,hybrid,hist_gradient_boosting,0.49436877184622985,0.4929873918279743,0.5036166365280289,0.4917677591194892,0.4817673124394867,-0.018238061386436695
window_3y,hybrid,logistic_regression,0.48702892037326134,0.48717304458377375,0.5108499095840868,0.4983277636858107,0.48149783723259665,-0.005304958207098984
window_3y,hybrid,random_forest,0.5039960799419001,0.5106607725769102,0.5090415913200723,0.5003098948408634,0.49053224795984396,-0.0007182124288679752
window_3y,lag_1,hist_gradient_boosting,0.5052219107383382,0.5047400393732371,0.5180831826401446,0.5075869651064023,0.500228920441113,0.014603643569750586
window_3y,lag_1,logistic_regression,0.48555033276960374,0.48570320130748146,0.5144665461121157,0.5018657839173363,0.4859363751813164,0.001645448029594463
window_3y,lag_1,random_forest,0.502933608944028,0.5070018073664823,0.5198915009041591,0.5146580329582823,0.5077298189779313,0.02992172809066187
window_5y,base,dummy,0.5,0.5,0.538878842676311,0.5,0.3501068345168674,0.0
window_5y,base,hist_gradient_boosting,0.5029031191178046,0.5036616339295398,0.5230560578661845,0.5027012354738778,0.47760527096539973,0.003419408502534512
window_5y,base,logistic_regression,0.49404641476005445,0.4928804564563609,0.5384267631103075,0.5026242762413249,0.39220598069924895,-0.003027630114251799
window_5y,base,random_forest,0.5098594421094776,0.5097919030631537,0.536618444846293,0.5089524612758242,0.456659895495167,0.02419994236053291
window_5y,hybrid,hist_gradient_boosting,0.5055190940384744,0.5061054123671657,0.5216998191681737,0.5086904222041584,0.4948750424600966,0.016892144595383917
window_5y,hybrid,logistic_regression,0.49804760606333975,0.5010560919427842,0.5031645569620253,0.4970086947118516,0.4817602190407898,-0.0074504655118563376
window_5y,hybrid,random_forest,0.5082489752602763,0.5142940829952559,0.5180831826401446,0.5036100877973171,0.4854819929419967,0.004215226914543898
window_5y,lag_1,hist_gradient_boosting,0.514893701438101,0.5139981169622401,0.5171790235081375,0.5070658429584003,0.49807127600432183,0.013216877239790543
window_5y,lag_1,logistic_regression,0.4984599957538124,0.501456779447508,0.5076853526220615,0.5018631298397659,0.4865788952333584,0.0027593235939458926
window_5y,lag_1,random_forest,0.507699417647005,0.5081591530282004,0.5090415913200723,0.4979774565629025,0.4841643296947514,-0.006193663983497577
