approach,reference,dataset_type,model_name,ticker,roc_auc,reference_auc,auc_low,auc_high,auc_delta,delta_low,delta_high,block_sessions,replicates
window_3y,deduplicated,hybrid,logistic_regression,macro,0.4870289203732613,0.4977004209890237,0.46172575182168923,0.5156610193466125,-0.010671500615762386,-0.03955962940516362,0.020842341669361223,20,1000
window_3y,deduplicated,hybrid,random_forest,AAPL,0.47674418604651164,0.4506011707008385,0.43369263126827456,0.5202804856406411,0.02614301534567315,-0.014935229895796322,0.06658943083531366,20,1000
window_3y,deduplicated,hybrid,random_forest,MSFT,0.47941767068273095,0.5167908476009301,0.43079070069831166,0.5246084076372868,-0.037373176918199136,-0.0823399928571859,0.0013540780880646533,20,1000
window_3y,deduplicated,hybrid,random_forest,NVDA,0.5294599450433313,0.542208306911858,0.4879791060681362,0.5780843235713157,-0.01274836186852668,-0.0626802467055399,0.028994068255900122,20,1000
window_3y,deduplicated,hybrid,random_forest,TSLA,0.5303625179950269,0.5083235178641539,0.4781215884529943,0.5668975735823686,0.02203900013087301,-0.0193947726570272,0.057679039015449074,20,1000
window_3y,deduplicated,hybrid,random_forest,macro,0.5039960799419001,0.5044809607694452,0.4762287936392103,0.5286519755444018,-0.00048488082754505335,-0.023615563099762846,0.0181743984554585,20,1000
window_3y,deduplicated,lag_1,hist_gradient_boosting,AAPL,0.500079101408005,0.48371170173495753,0.448978325335032,0.5437770651215122,0.01636739967304751,-0.0398446370178493,0.056407638701204604,20,1000
window_3y,deduplicated,lag_1,hist_gradient_boosting,MSFT,0.4751506024096386,0.5149611604311984,0.42818183303093077,0.5173846965067084,-0.03981055802155986,-0.09117526130766132,0.013234146173901971,20,1000
window_3y,deduplicated,lag_1,hist_gradient_boosting,NVDA,0.5290239906996407,0.552578735996618,0.48479466868205046,0.5839191803890145,-0.02355474529697732,-0.07701650609857347,0.036737630933351556,20,1000
window_3y,deduplicated,lag_1,hist_gradient_boosting,TSLA,0.5166339484360686,0.5174388169087816,0.4639108444525685,0.5621001402983155,-0.000804868472712994,-0.062178997225444205,0.04793498238174285,20,1000
window_3y,deduplicated,lag_1,hist_gradient_boosting,macro,0.5052219107383382,0.517172603767889,0.47992141800254146,0.5258034528690416,-0.011950693029550763,-0.04330311992019747,0.012284828624424713,20,1000
window_3y,deduplicated,lag_1,logistic_regression,AAPL,0.4730923377102779,0.45866951431735486,0.42378103500239794,0.5211397723046927,0.014422823392923056,-0.03261208705886621,0.06661049530371355,20,1000
window_3y,deduplicated,lag_1,logistic_regression,MSFT,0.4504729444092158,0.5046501796660325,0.4050295318586806,0.48782932566667103,-0.054177235256816725,-0.1168763614130929,0.002889862938088512,20,1000
window_3y,deduplicated,lag_1,logistic_regression,NVDA,0.505574931304164,0.51465070809554,0.4658203902827559,0.555721995887722,-0.009075776791376056,-0.0596975015278716,0.04779960112600712,20,1000
window_3y,deduplicated,lag_1,logistic_regression,TSLA,0.5130611176547573,0.5115168171705274,0.4676297544720835,0.56752323891326,0.0015443004842298214,-0.04394973322295564,0.05794327961719556,20,1000
window_3y,deduplicated,lag_1,logistic_regression,macro,0.48555033276960374,0.49737180481236376,0.4589366516034377,0.514165831278811,-0.011821472042760017,-0.04113057396399836,0.019085587341039868,20,1000
window_3y,deduplicated,lag_1,random_forest,AAPL,0.47319780625428465,0.46403522649369827,0.42793417422674945,0.5195004557933784,0.009162579760586376,-0.021057759426764567,0.04242755753751887,20,1000
window_3y,deduplicated,lag_1,random_forest,MSFT,0.48869160853942084,0.5087983512999366,0.43975286137309383,0.5390345250612899,-0.020106742760515717,-0.06304675495725717,0.021581965752907564,20,1000
window_3y,deduplicated,lag_1,random_forest,NVDA,0.5205294863665187,0.5505971253434792,0.4782376861696217,0.5715875344722119,-0.03006763897696041,-0.06914118443798106,0.01649535759242408,20,1000
window_3y,deduplicated,lag_1,random_forest,TSLA,0.529315534615888,0.5127208480565371,0.47707050626284403,0.5722218990989288,0.016594686559350924,-0.025908189753083375,0.055282325051385986,20,1000
window_3y,deduplicated,lag_1,random_forest,macro,0.502933608944028,0.5090378877984127,0.4760317678278419,0.5287592876332341,-0.006104278854384693,-0.02239393486447204,0.011949535474530435,20,1000
window_5y,deduplicated,base,hist_gradient_boosting,AAPL,0.48063333860676055,0.4573050150292675,0.436060558414332,0.5345303972050398,0.023328323577493038,-0.0229603360914953,0.09486438426719661,20,1000
window_5y,deduplicated,base,hist_gradient_boosting,MSFT,0.48050095117311353,0.5098353942084126,0.42654922516256266,0.5282762030314345,-0.029334443035299085,-0.0813240032646722,0.01791002741298295,20,1000
window_5y,deduplicated,base,hist_gradient_boosting,NVDA,0.5371684104840414,0.5418978545761995,0.5021239865489412,0.5850622867739805,-0.0047294440921581415,-0.036338039963441926,0.04496154251051735,20,1000
window_5y,deduplicated,base,hist_gradient_boosting,TSLA,0.5133097762073027,0.5029511843999477,0.4744129633672844,0.5556569802491085,0.010358591807354989,-0.04223753531707238,0.05057961660907032,20,1000
window_5y,deduplicated,base,hist_gradient_boosting,macro,0.5029031191178046,0.5029973620534568,0.48021243316056333,0.5311071680272015,-9.4242935652189e-05,-0.02588207452805268,0.02993074127380346,20,1000
window_5y,deduplicated,base,logistic_regression,AAPL,0.4485972683647102,0.45037705004482415,0.4011661543218497,0.5096661868373729,-0.0017797816801139454,-0.031141478510168772,0.033634154970462064,20,1000
window_5y,deduplicated,base,logistic_regression,MSFT,0.4883481293595434,0.5206615937433946,0.4431307186292628,0.5354332310426625,-0.03231346438385119,-0.0644442154992989,0.0010663554046405758,20,1000
window_5y,deduplicated,base,logistic_regression,NVDA,0.5060901500739802,0.5134088987529064,0.46631933526156305,0.5586376938986931,-0.007318748678926235,-0.03681060201762828,0.024955777856083015,20,1000
window_5y,deduplicated,base,logistic_regression,TSLA,0.5331501112419841,0.5231906818479256,0.49050314932370204,0.578645215861721,0.009959429394058472,-0.014217487996136471,0.03306547736547803,20,1000
window_5y,deduplicated,base,logistic_regression,macro,0.4940464147600545,0.5019095560972627,0.4733551847110253,0.5210760919769776,-0.007863141337208224,-0.024304166836094626,0.011074549279423649,20,1000
window_5y,deduplicated,base,random_forest,AAPL,0.48672414702315037,0.4632178452776459,0.43930586030502267,0.5407257349932824,0.023506301745504443,-0.017840885772655836,0.07840439051510226,20,1000
