scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,approach,dataset_type,model_name,ticker
outer_fold,0.572972972972973,0.6415094339622641,0.6238532110091743,0.6325581395348837,0.5619266055045872,0.5614403600900225,0.12318585364118512,0.5667551907291164,38,38,41,68,1.0,,enhanced,hybrid,hist_gradient_boosting,NVDA
outer_fold,0.5380434782608695,0.536,0.7127659574468085,0.6118721461187214,0.534160756501182,0.5207011737305016,0.07317481692899586,0.5163120567375886,32,58,27,67,2.0,,enhanced,hybrid,hist_gradient_boosting,NVDA
outer_fold,0.5271739130434783,0.5583333333333333,0.6633663366336634,0.6063348416289592,0.5124060598830967,0.5072490534675409,0.02592286462438916,0.4976738637719193,30,53,34,67,3.0,,enhanced,hybrid,hist_gradient_boosting,NVDA
global,0.5063291139240507,0.5140449438202247,0.6466431095406361,0.5727699530516432,0.5029511843999477,0.49409375596907645,0.006160888230225431,0.5161889804999344,97,173,100,183,,0.5255507257727653,enhanced,hybrid,hist_gradient_boosting,TSLA
outer_fold,0.5027027027027027,0.5116279069767442,0.6947368421052632,0.5892857142857143,0.49736842105263157,0.47957436399217224,-0.005725858189136217,0.5178947368421053,27,63,29,66,1.0,,enhanced,hybrid,hist_gradient_boosting,TSLA
outer_fold,0.5434782608695652,0.5149253731343284,0.7840909090909091,0.6216216216216216,0.5535037878787878,0.5231395779340985,0.12015838334169955,0.55078125,31,65,19,69,2.0,,enhanced,hybrid,hist_gradient_boosting,TSLA
outer_fold,0.47282608695652173,0.5161290322580645,0.48,0.49740932642487046,0.47214285714285714,0.4715618060695781,-0.055506525068805705,0.5079761904761905,39,45,52,48,3.0,,enhanced,hybrid,hist_gradient_boosting,TSLA
global,0.5081374321880651,0.5346062052505967,0.7441860465116279,0.6222222222222222,0.48518826135105203,0.4587795048934945,-0.034431833024537506,0.4733955597742973,57,195,77,224,,0.47403720478520245,enhanced,hybrid,logistic_regression,AAPL
outer_fold,0.572972972972973,0.5625,0.9090909090909091,0.694980694980695,0.547568710359408,0.4916344916344917,0.1387995954445122,0.4918957011980267,16,70,9,90,1.0,,enhanced,hybrid,logistic_regression,AAPL
outer_fold,0.46195652173913043,0.5067567567567568,0.7425742574257426,0.6024096385542169,0.43152809256829294,0.3852384327224866,-0.17177503547419817,0.4448288202314207,10,73,26,75,2.0,,enhanced,hybrid,logistic_regression,AAPL
