dataset_type,model_name,outer_fold,params,inner_mean_auc,train_rows,test_rows,train_end,train_target_end,test_start,test_end,approach
hybrid,random_forest,3,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5050347204563822,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,raw_ticker
hybrid,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5085315799269271,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,raw_ticker
hybrid,xgboost,3,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5070401936541403,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,raw_ticker
hybrid,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5091124612865844,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,raw_ticker
lag_1,logistic_regression,3,"{""model__C"": 10.0}",0.5107547755291465,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,raw_ticker
lag_1,random_forest,3,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5028590527066695,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,raw_ticker
lag_1,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5064658410610288,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,raw_ticker
lag_1,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5008630774795376,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,raw_ticker
lag_1,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5080260264312529,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,raw_ticker
base,dummy,1,{},0.5,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_pooled
base,logistic_regression,1,"{""model__C"": 0.1}",0.5015333179030799,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_pooled
base,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5028756128708378,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_pooled
base,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5040198039453792,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_pooled
base,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5052060930711263,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_pooled
base,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5095733642580521,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_pooled
hybrid,logistic_regression,1,"{""model__C"": 0.1}",0.510882885017684,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_pooled
hybrid,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.50306002234913,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_pooled
hybrid,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5040864353389899,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_pooled
hybrid,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.508388972312214,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_pooled
hybrid,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5070567923378007,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_pooled
lag_1,logistic_regression,1,"{""model__C"": 0.1}",0.5110373602039658,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_pooled
lag_1,random_forest,1,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5064097915649816,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_pooled
lag_1,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5023191719570059,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_pooled
lag_1,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5069499489849152,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_pooled
lag_1,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5067075885645719,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_pooled
base,dummy,2,{},0.5,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_pooled
base,logistic_regression,2,"{""model__C"": 0.1}",0.5033160632913616,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_pooled
base,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5049663466787623,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_pooled
base,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5006621394050003,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_pooled
base,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5028300407340808,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_pooled
base,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5065469242213783,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_pooled
hybrid,logistic_regression,2,"{""model__C"": 0.1}",0.5126035122951457,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_pooled
