approach,dataset_type,model_name,roc_auc,accuracy,balanced_accuracy,f1_macro,mcc
add_news_sentiment_std,hybrid,random_forest,0.5165798809849296,0.527124773960217,0.5154584837686148,0.5020675305968887,0.02952168475580407
add_news_sentiment_std,lag_1,hist_gradient_boosting,0.5092742577852286,0.5180831826401446,0.5017119878560141,0.484762269766063,0.0031720562532894913
add_news_sentiment_std,lag_1,logistic_regression,0.4931312397617523,0.4995479204339964,0.49278180178172526,0.47809137515047484,-0.01752724345427641
add_news_sentiment_std,lag_1,random_forest,0.5064783187343626,0.5171790235081375,0.5049309988854538,0.4905664551410759,0.0070286435122510595
add_sentiment_history_ready,hybrid,hist_gradient_boosting,0.5113671800856796,0.5226039783001809,0.5086265020556211,0.49360453021101525,0.017170136331682302
add_sentiment_history_ready,hybrid,logistic_regression,0.49834483021912,0.49954792043399643,0.4957835949986469,0.4821553357260009,-0.010389012356157835
add_sentiment_history_ready,hybrid,random_forest,0.5124239043086882,0.5149186256781193,0.5018920863219962,0.4864566132310867,0.0005886745015639839
add_sentiment_history_ready,lag_1,hist_gradient_boosting,0.516764901204341,0.5221518987341772,0.5043914559433288,0.4823946392501545,0.008171908996781035
add_sentiment_history_ready,lag_1,logistic_regression,0.49739561436533936,0.4972875226039783,0.4935690206182826,0.4801800516149551,-0.014615100166767037
add_sentiment_history_ready,lag_1,random_forest,0.5076482238301439,0.5176311030741411,0.5055020764466651,0.49098469225158525,0.00919707613607801
add_sentiment_surprise_20,hybrid,hist_gradient_boosting,0.5118352589364625,0.523508137432188,0.5090293993050301,0.49651502479898657,0.01912351417046001
add_sentiment_surprise_20,hybrid,logistic_regression,0.49823569124293776,0.5045207956600362,0.49820864078223703,0.4924814227403683,-0.004164870451655946
add_sentiment_surprise_20,hybrid,random_forest,0.5103747877744332,0.52124773960217,0.5098803216389516,0.49884538593465644,0.018449070146707745
add_sentiment_surprise_20,lag_1,hist_gradient_boosting,0.5048195650396015,0.5113019891500904,0.49452523061513526,0.475107143436479,-0.013526473091600412
add_sentiment_surprise_20,lag_1,logistic_regression,0.49798368955669003,0.4981916817359855,0.491781358221041,0.4860225462750708,-0.01766137148089113
add_sentiment_surprise_20,lag_1,random_forest,0.5113257940489052,0.5180831826401446,0.5053283897709242,0.4910502698616446,0.00849932324944105
deduplicated,hybrid,hist_gradient_boosting,0.5147053170865143,0.5230560578661845,0.5079580103197883,0.49164566626786355,0.016025157531788826
deduplicated,hybrid,logistic_regression,0.4977004209890237,0.5027124773960217,0.49822869541059167,0.48530944188921465,-0.005227823278008924
deduplicated,hybrid,random_forest,0.504480960769445,0.5103978300180831,0.49796246369076097,0.4838457217645372,-0.007557060800058761
deduplicated,lag_1,hist_gradient_boosting,0.5171726037678889,0.5248643761301989,0.5073842538408798,0.48719486375557935,0.014979318036319446
deduplicated,lag_1,logistic_regression,0.49737180481236376,0.5,0.4957984843647317,0.48329915877617413,-0.010223063728656317
deduplicated,lag_1,random_forest,0.5090378877984127,0.5167269439421338,0.5042080345829931,0.4877130610775579,0.0062712521929078335
drop_news_abs_sentiment,hybrid,hist_gradient_boosting,0.5164901029148958,0.5257685352622061,0.5101987514260509,0.49525582862212236,0.02136701877696271
drop_news_abs_sentiment,hybrid,logistic_regression,0.4970304438155566,0.5040687160940325,0.49476427072864104,0.48680315870780605,-0.011542474870933348
drop_news_abs_sentiment,hybrid,random_forest,0.50710703104067,0.5370705244122966,0.51366673263249,0.470415048596175,0.030605215403849164
drop_news_abs_sentiment,lag_1,hist_gradient_boosting,0.5046687865731252,0.523508137432188,0.5076107909498663,0.49088475258006525,0.015141881769527413
drop_news_abs_sentiment,lag_1,logistic_regression,0.4936203434060428,0.5018083182640145,0.49229644265790207,0.4842154510857267,-0.016332406090901974
drop_news_abs_sentiment,lag_1,random_forest,0.5072680869378051,0.5311934900542495,0.5060716845908059,0.456831636298549,0.01223717975274328
drop_news_log_surprise_20,hybrid,hist_gradient_boosting,0.5153978940138504,0.5271247739602171,0.5133512928684327,0.5031976108858076,0.0279057032825007
drop_news_log_surprise_20,hybrid,logistic_regression,0.49832803292695654,0.5027124773960217,0.4958461314701443,0.4883398369477306,-0.009608076803459186
drop_news_log_surprise_20,hybrid,random_forest,0.5051589398219618,0.5239602169981917,0.5030846793142262,0.4696808181965764,0.00432016558113908
