scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,approach,dataset_type,model_name,ticker
outer_fold,0.4648648648648649,0.5267857142857143,0.5619047619047619,0.543778801843318,0.44970238095238096,0.4483599891569531,-0.10196394370492243,0.48559523809523814,27,53,46,59,1.0,add_news_abs_sentiment,lag_1,logistic_regression,MSFT
outer_fold,0.532608695652174,0.5436893203883495,0.5894736842105263,0.5656565656565656,0.5306918982850384,0.5298871063576946,0.061794444155792036,0.4853932584269663,42,47,39,56,2.0,add_news_abs_sentiment,lag_1,logistic_regression,MSFT
outer_fold,0.483695652173913,0.5849056603773585,0.2980769230769231,0.39490445859872614,0.5115384615384615,0.4723337458870408,0.025261898330099328,0.5641826923076922,58,22,73,31,3.0,add_news_abs_sentiment,lag_1,logistic_regression,MSFT
global,0.5189873417721519,0.5778688524590164,0.46381578947368424,0.5145985401459854,0.5250805854998943,0.518948015592706,0.05026086734769923,0.5233565842316635,146,103,163,141,,add_news_abs_sentiment,lag_1,logistic_regression,NVDA
outer_fold,0.5675675675675675,0.6260869565217392,0.6605504587155964,0.6428571428571429,0.5473804925156929,0.5474559686888454,0.09612839062642765,0.5218493481409947,33,43,37,72,1.0,add_news_abs_sentiment,lag_1,logistic_regression,NVDA
outer_fold,0.5054347826086957,0.5172413793103449,0.4787234042553192,0.4972375690607735,0.5060283687943262,0.5053032765089964,0.012071729540996981,0.5141843971631205,48,42,49,45,2.0,add_news_abs_sentiment,lag_1,logistic_regression,NVDA
outer_fold,0.483695652173913,0.5714285714285714,0.2376237623762376,0.3356643356643357,0.5103781462483598,0.4567210567210567,0.02460824816338807,0.5321483955624478,65,18,77,24,3.0,add_news_abs_sentiment,lag_1,logistic_regression,NVDA
global,0.49547920433996384,0.5052356020942408,0.6819787985865724,0.5804511278195489,0.4909893992932862,0.4738990332975296,-0.01949077480752735,0.504946996466431,81,189,90,193,,add_news_abs_sentiment,lag_1,logistic_regression,TSLA
outer_fold,0.4864864864864865,0.5,0.8421052631578947,0.6274509803921569,0.4766081871345029,0.40068201193520886,-0.06839855680567694,0.52046783625731,10,80,15,80,1.0,add_news_abs_sentiment,lag_1,logistic_regression,TSLA
outer_fold,0.5271739130434783,0.5035460992907801,0.8068181818181818,0.6200873362445415,0.5388257575757576,0.49709402783450096,0.09166068587934703,0.5441524621212122,26,70,17,71,2.0,add_news_abs_sentiment,lag_1,logistic_regression,TSLA
