scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,approach,dataset_type,model_name,ticker
global,0.5189873417721519,0.550531914893617,0.680921052631579,0.6088235294117647,0.501103096596914,0.49220519193592926,0.0023528782230159357,0.49928662016487,80,169,97,207,,add_news_sentiment_std,hybrid,random_forest,MSFT
global,0.5840867992766727,0.6275862068965518,0.5986842105263158,0.6127946127946128,0.5824746353836399,0.5817879313973064,0.16432740309644278,0.5931357006975269,141,108,122,182,,add_news_sentiment_std,hybrid,random_forest,NVDA
global,0.4918625678119349,0.5025773195876289,0.6890459363957597,0.5812220566318927,0.48711556079047247,0.46762252256882,-0.028152228666090465,0.5017013479911007,77,193,88,195,,add_news_sentiment_std,hybrid,random_forest,TSLA
global,0.5171790235081374,0.5406698564593302,0.7508305647840532,0.6286509040333796,0.49446290143964566,0.4693642117066123,-0.012839282147813259,0.4704556241101091,60,192,75,226,,add_news_sentiment_std,lag_1,hist_gradient_boosting,AAPL
global,0.5280289330922242,0.5533498759305211,0.7335526315789473,0.6308345120226309,0.5053305326569435,0.4883495868383831,0.011929958056404686,0.5058127245825407,69,180,81,223,,add_news_sentiment_std,lag_1,hist_gradient_boosting,MSFT
global,0.5334538878842676,0.56353591160221,0.6710526315789473,0.6126126126126126,0.5182572394842528,0.5131244881244881,0.038205914940417696,0.5433047981399282,91,158,100,204,,add_news_sentiment_std,lag_1,hist_gradient_boosting,NVDA
global,0.4936708860759494,0.5038363171355499,0.696113074204947,0.5845697329376854,0.48879727784321425,0.46821079239476865,-0.02460836583585116,0.5175238843083366,76,194,86,197,,add_news_sentiment_std,lag_1,hist_gradient_boosting,TSLA
global,0.4972875226039783,0.5268065268065268,0.7508305647840532,0.6191780821917808,0.4726375046142488,0.4399081900320606,-0.06534761271454209,0.472578178558245,49,203,75,226,,add_news_sentiment_std,lag_1,logistic_regression,AAPL
global,0.49909584086799275,0.5457627118644067,0.5296052631578947,0.5375626043405676,0.4957263263580638,0.49560575976397214,-0.00852406895671536,0.5063147326146692,115,134,143,161,,add_news_sentiment_std,lag_1,logistic_regression,MSFT
global,0.5063291139240507,0.563265306122449,0.45394736842105265,0.5027322404371585,0.5121142464595223,0.5063032835938037,0.024266350463610937,0.4977938068061721,142,107,166,138,,add_news_sentiment_std,lag_1,logistic_regression,NVDA
