dataset_type,model_name,reference_dataset,reference_model,block_sessions,replicates,roc_auc,auc_low,auc_high,auc_delta,delta_low,delta_high
rolling_3,logistic_regression,hybrid,logistic_regression,20,1000,0.49546897618107644,0.46559902760855326,0.5231998009640109,-0.00217298328727461,-0.00853899941418058,0.004189644060435769
rolling_3,random_forest,hybrid,random_forest,20,1000,0.5029090998815634,0.4756767785164104,0.5260320267934536,0.0010733320173708094,-0.008838105758286727,0.010999376142469725
rolling_3,xgboost,hybrid,xgboost,20,1000,0.49824318989340705,0.4736953031757929,0.5249052057987474,0.001261267929990817,-0.006366518811247062,0.014941045408316348
rolling_5,hist_gradient_boosting,hybrid,hist_gradient_boosting,20,1000,0.48832206540334255,0.46568224346262627,0.5091414516114161,-0.0048776977233847,-0.018849778437085643,0.008681868917242097
rolling_5,lightgbm,hybrid,lightgbm,20,1000,0.49918780431635745,0.4747761386903038,0.5226913166668814,0.0037977858928807118,-0.010453570702536252,0.01812035117004397
rolling_5,logistic_regression,hybrid,logistic_regression,20,1000,0.4981477826029741,0.4657362872397904,0.5276877867541313,0.0005058231346230513,-0.007617371741563763,0.008368692300258091
rolling_5,random_forest,hybrid,random_forest,20,1000,0.49834270956704824,0.473439883139907,0.5209325966957769,-0.003493058297144358,-0.012877133450483521,0.004455582664725599
rolling_5,xgboost,hybrid,xgboost,20,1000,0.4959365541518621,0.47124830713123933,0.520070000413006,-0.001045367811554121,-0.009193906241913765,0.010009250124057508
sentiment_only,hist_gradient_boosting,base,dummy,20,1000,0.49321251151467294,0.4690639234791515,0.5093794907045025,-0.0067874884853270645,-0.030936076520848493,0.009379490704502476
sentiment_only,lightgbm,base,dummy,20,1000,0.47771951901565995,0.44803615742888087,0.49829023412116497,-0.022280480984340045,-0.05196384257111915,-0.0017097658788350087
sentiment_only,logistic_regression,base,dummy,20,1000,0.5003906764047901,0.46939299498065706,0.5266022871881257,0.00039067640479006904,-0.03060700501934296,0.026602287188125743
sentiment_only,random_forest,base,dummy,20,1000,0.49279510461902876,0.4669095381815697,0.5106489285208982,-0.0072048953809712435,-0.03309046181843029,0.010648928520898184
sentiment_only,xgboost,base,dummy,20,1000,0.4922428115541519,0.45923733063744315,0.5139866619366034,-0.007757188445848107,-0.04076266936255687,0.01398666193660337
weighted_sentiment,hist_gradient_boosting,hybrid,hist_gradient_boosting,20,1000,0.48539240360573765,0.46271967226252525,0.506247285181786,-0.0078073595209895985,-0.01862280430389682,0.0015836662683923772
weighted_sentiment,lightgbm,hybrid,lightgbm,20,1000,0.5005564054480853,0.4778613235772413,0.5208307599882065,0.0051663870246085875,-0.008720438187692905,0.016662457304087764
weighted_sentiment,logistic_regression,hybrid,logistic_regression,20,1000,0.49705800105277015,0.4686913337912449,0.523014632312597,-0.0005839584155808986,-0.004246700773108146,0.004366348226795226
weighted_sentiment,random_forest,hybrid,random_forest,20,1000,0.5074565732333202,0.4846290244228283,0.5285127168791872,0.005620805369127568,-0.004097083356115455,0.01559344757954568
weighted_sentiment,xgboost,hybrid,xgboost,20,1000,0.49521976575865245,0.4675465171825299,0.5204675948387354,-0.0017621562047637762,-0.009689460884778935,0.008120350019369395
