dataset_type,model_name,scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,std_outer_auc
news_volume,random_forest,global,0.5140144665461122,0.539714867617108,0.6669463087248322,0.5966228893058161,0.5011202131859455,0.4927400972964555,0.0023678015310174163,0.5059164857218055,342,678,397,795,,0.517217070229436,0.038179115816260364
news_volume,xgboost,global,0.4936708860759494,0.5267857142857143,0.5939597315436241,0.5583596214511041,0.4852151598894591,0.4825696412340266,-0.030187374636732683,0.48686381431767334,384,636,484,708,,0.4954526708323976,0.018456982279122246
relative_features,hist_gradient_boosting,global,0.5162748643761302,0.5406666666666666,0.6803691275167785,0.6025260029717682,0.5024394657191735,0.4923715465205261,0.005205678016070466,0.5108205026977233,331,689,381,811,,0.5099453981399596,0.020065471394993987
relative_features,lightgbm,global,0.5040687160940326,0.5335689045936396,0.6333892617449665,0.5792098197161488,0.49316521910777733,0.4877336935674855,-0.014193366761635842,0.49753503750493483,360,660,437,755,,0.49603908629555926,0.013583199644138587
relative_features,logistic_regression,global,0.5036166365280289,0.5363777089783281,0.5813758389261745,0.5579710144927537,0.4970604684826951,0.49599581652472735,-0.005945948725133437,0.4970538886695618,421,599,499,693,,0.5018852374332131,0.00939253083044289
relative_features,random_forest,global,0.5194394213381555,0.5434929197572488,0.6761744966442953,0.6026168224299066,0.5062245032241084,0.49742047525154565,0.013201964658057208,0.5076202460850111,343,677,386,806,,0.5126809737899999,0.031994170365174365
relative_features,xgboost,global,0.5131103074141049,0.5388776200135227,0.6686241610738255,0.5967802321228004,0.49999835504671664,0.49120243779557016,-3.484060625065787e-06,0.5069680221081722,338,682,395,797,,0.50669147736411,0.01361574253777532
rolling_3,hist_gradient_boosting,global,0.4995479204339964,0.5356244761106455,0.5360738255033557,0.5358490566037736,0.4964682853006974,0.4964679319311168,-0.007063931974480995,0.49461113304382154,466,554,553,639,,0.4992427710450973,0.01549886943902733
rolling_3,lightgbm,global,0.4950271247739602,0.5302175664786463,0.552013422818792,0.5408960131524866,0.49022239768390574,0.4899357012020594,-0.019642875896855237,0.4955442327937887,437,583,534,658,,0.5025151848742574,0.017120497308300307
rolling_3,logistic_regression,global,0.5045207956600362,0.5353982300884956,0.6090604026845637,0.5698587127158555,0.49570667193051715,0.49281848215750135,-0.008788111490755026,0.49546897618107644,390,630,466,726,,0.5028256132854999,0.0033174961411628076
