dataset_type,model_name,reference_dataset,reference_model,block_sessions,replicates,roc_auc,auc_low,auc_high,auc_delta,delta_low,delta_high,ticker
hybrid,hist_gradient_boosting,base,hist_gradient_boosting,20,1000,0.5047756816740646,0.4626529727922207,0.5471410448380277,-0.0176099133375607,-0.0497038072417465,0.0082385765238953,NVDA
hybrid,lightgbm,base,lightgbm,20,1000,0.5112027055590784,0.4726515181410531,0.5570327478200565,0.0005944831959416,-0.0205212949130203,0.0192720870752496,NVDA
hybrid,logistic_regression,base,logistic_regression,20,1000,0.5109781230183894,0.4678365917853465,0.5523537889554986,0.0230527372648489,-0.0075348830870502,0.047478881018291,NVDA
hybrid,random_forest,base,random_forest,20,1000,0.5025760938490805,0.4616069862409893,0.5437794259582539,0.0056079581483829,-0.0134337572963221,0.0240503108848018,NVDA
hybrid,xgboost,base,xgboost,20,1000,0.530437539632213,0.492158314963212,0.5769547456865616,0.0114471042062987,-0.0227030070047578,0.039134717906274,NVDA
lag_1,hist_gradient_boosting,hybrid,hist_gradient_boosting,20,1000,0.5193074931304165,0.4782347489419592,0.5648827744766344,0.0145318114563518,-3.010642165202894e-05,0.0368663365983151,NVDA
lag_1,lightgbm,hybrid,lightgbm,5,1000,0.5158000422743606,0.4655663818642967,0.5609963704923822,0.0045973367152821,-0.016018859134393,0.0266921541502525,NVDA
lag_1,lightgbm,hybrid,lightgbm,20,1000,0.5158000422743606,0.4746432762688762,0.560388281206457,0.0045973367152821,-0.0166527018353771,0.0266017789247799,NVDA
lag_1,lightgbm,hybrid,lightgbm,60,1000,0.5158000422743606,0.4775083724765074,0.5468315934041198,0.0045973367152821,-0.0190158076486402,0.020764834492358,NVDA
lag_1,logistic_regression,hybrid,logistic_regression,20,1000,0.5067242654829847,0.4648728395161197,0.5460114981862515,-0.0042538575354047,-0.013637531905579,0.0035941896818351,NVDA
lag_1,random_forest,hybrid,random_forest,20,1000,0.5012285986049462,0.45732097443448,0.5419191409285298,-0.0013474952441343,-0.0159361475355749,0.012470568537842,NVDA
lag_1,xgboost,hybrid,xgboost,20,1000,0.5242284929190446,0.4839598499318211,0.5685042851908373,-0.0062090467131683,-0.0265187976401852,0.0143171072057303,NVDA
base,hist_gradient_boosting,base,dummy,20,1000,0.4983837194084544,0.4387404504754035,0.5551837845813008,-0.0016162805915456,-0.0612595495245964,0.0551837845813007,TSLA
base,lightgbm,base,dummy,20,1000,0.5052283732495747,0.449039480579808,0.5556410540840883,0.0052283732495747,-0.0509605194201919,0.0556410540840882,TSLA
base,logistic_regression,base,dummy,20,1000,0.5259651878026437,0.4852656936678963,0.5690223326546864,0.0259651878026436,-0.0147343063321036,0.0690223326546864,TSLA
base,random_forest,base,dummy,20,1000,0.5097304017798717,0.4505308563114006,0.5621595751836036,0.0097304017798717,-0.0494691436885993,0.0621595751836036,TSLA
base,xgboost,base,dummy,20,1000,0.5192514068839157,0.4667584571996475,0.5673039786889874,0.0192514068839156,-0.0332415428003524,0.0673039786889874,TSLA
hybrid,hist_gradient_boosting,base,hist_gradient_boosting,20,1000,0.5117785630153121,0.4575811172185047,0.55830989038363,0.0133948436068577,-0.0230447766774908,0.0468565108120844,TSLA
hybrid,lightgbm,base,lightgbm,20,1000,0.5221175238843083,0.4659042116598645,0.5708654240156745,0.0168891506347336,-0.0140043383663626,0.0467972899499163,TSLA
hybrid,logistic_regression,base,logistic_regression,20,1000,0.5227326266195523,0.4826476000049248,0.563765565973614,-0.0032325611830913,-0.0458286646445003,0.0355765561158301,TSLA
hybrid,random_forest,base,random_forest,20,1000,0.5266849888758016,0.471366172489806,0.5738684168874163,0.0169545870959298,-0.0152648863804791,0.045392052842708,TSLA
hybrid,xgboost,base,xgboost,20,1000,0.5304083235178642,0.4725840341587796,0.5757487312282968,0.0111569166339484,-0.0186391783066863,0.0344292129441944,TSLA
lag_1,hist_gradient_boosting,hybrid,hist_gradient_boosting,20,1000,0.4949417615495354,0.4379577601490818,0.5401760115327621,-0.0168368014657767,-0.0389298834989956,0.0040793606727107,TSLA
lag_1,lightgbm,hybrid,lightgbm,5,1000,0.5210181913362125,0.4660746824269824,0.5623581221733468,-0.0010993325480957,-0.0267752313526114,0.0224865016477193,TSLA
lag_1,lightgbm,hybrid,lightgbm,20,1000,0.5210181913362125,0.4591661752707561,0.5717382260307478,-0.0010993325480957,-0.027882676171073,0.022857874666941,TSLA
lag_1,lightgbm,hybrid,lightgbm,60,1000,0.5210181913362125,0.475835080316308,0.5623755583194132,-0.0010993325480957,-0.0181505658368743,0.0175526258243829,TSLA
lag_1,logistic_regression,hybrid,logistic_regression,20,1000,0.5323648737076299,0.4995624567480474,0.5692330932479867,0.0096322470880775,-0.0053121142408259,0.0278298423770102,TSLA
lag_1,random_forest,hybrid,random_forest,20,1000,0.5195524146054182,0.4642215415010531,0.5707015278501781,-0.0071325742703833,-0.022356464443614,0.0087668440261904,TSLA
lag_1,xgboost,hybrid,xgboost,20,1000,0.5088470095537234,0.4479668956088325,0.5595635164970509,-0.0215613139641407,-0.0422556482014765,-0.0034785852804154,TSLA
