ticker,dataset_type,model_name,reference_approach,block_sessions,replicates,roc_auc,auc_low,auc_high,auc_delta,delta_low,delta_high
MSFT,base,random_forest,joint,20,1000,0.5057863031071654,0.45797200381562236,0.5628565283738998,0.0168965335024307,0.0006628903175761403,0.03983781055134479
MSFT,base,xgboost,joint,20,1000,0.49228492919044603,0.4494533688034486,0.5447804452740211,-0.012550200803212841,-0.06242387052880072,0.036005920613841565
MSFT,hybrid,hist_gradient_boosting,joint,20,1000,0.5123388290002113,0.47024087076246257,0.5579447922738555,0.024083174804481078,-0.019074286830890186,0.07102260708619784
MSFT,hybrid,lightgbm,joint,20,1000,0.5028403086028324,0.45858949824019446,0.5533001766598112,0.016671950961741677,-0.021444074445624888,0.0637861849482067
MSFT,hybrid,logistic_regression,joint,20,1000,0.4938834284506447,0.4461649022876289,0.5411632457825516,-0.010013739167195057,-0.04360370952735048,0.03281738579732673
MSFT,hybrid,random_forest,joint,20,1000,0.5068695835975481,0.4638236114158257,0.5604886859055813,0.021639188332276516,2.4016528411738426e-05,0.051647633826728316
MSFT,hybrid,xgboost,joint,20,1000,0.4948081800887762,0.4479330033003301,0.542294319749299,-0.008547347283872242,-0.045893837998411846,0.02950558796543544
MSFT,lag_1,hist_gradient_boosting,joint,20,1000,0.49960367786937226,0.45777104293420706,0.5448990797499109,0.023937856689917603,-0.013285809226707506,0.06336930475145905
MSFT,lag_1,lightgbm,joint,20,1000,0.5075036990065525,0.46326634881142736,0.5587468769413049,0.027200908898752818,-0.009288951674199533,0.06677838977375264
MSFT,lag_1,logistic_regression,joint,20,1000,0.49462322976114986,0.44696619777773455,0.5409266544350616,-0.00025100401606420464,-0.036610145759482626,0.04275618439563314
MSFT,lag_1,random_forest,joint,20,1000,0.5024175649968294,0.45673119628317954,0.557005931712963,0.015958571126611698,-0.010076476535473925,0.043981995563258144
MSFT,lag_1,xgboost,joint,20,1000,0.49412122172902134,0.44649424536161053,0.5469263997343148,-0.00352726696258715,-0.033050601546325324,0.029958676233598158
NVDA,base,hist_gradient_boosting,joint,20,1000,0.5223855950116254,0.48254516479101317,0.5679295307133255,0.04819277108433734,-0.017930102627571075,0.10350188367674072
NVDA,base,lightgbm,joint,20,1000,0.5106082223631367,0.4767501251741553,0.5523066783572649,0.01852145423800461,-0.041847479370292096,0.07969561706564164
NVDA,base,logistic_regression,joint,20,1000,0.48792538575354044,0.4549634186529061,0.5256165449928448,-0.030107271190023377,-0.08692092680355476,0.02258065911437127
NVDA,base,random_forest,joint,20,1000,0.49696813570069753,0.45849810686585246,0.5337477338467789,0.009478704290847628,-0.037992945889413265,0.0653920298514454
NVDA,base,xgboost,joint,20,1000,0.5189904354259142,0.48018992539465044,0.5640604080407761,0.029043806806172023,-0.03573006074087388,0.0897470283918385
NVDA,hybrid,hist_gradient_boosting,joint,20,1000,0.5047756816740646,0.46265297279222073,0.5471410448380277,0.0210909427182413,-0.026121370195591888,0.06314134588169215
NVDA,hybrid,lightgbm,joint,20,1000,0.5112027055590784,0.47265151814105316,0.5570327478200565,0.017213591206933,-0.03573443097118686,0.06957773893908338
NVDA,hybrid,logistic_regression,joint,20,1000,0.5109781230183894,0.4678365917853465,0.5523537889554986,-0.00791323187486781,-0.059102793369968765,0.03894230644157
NVDA,hybrid,random_forest,joint,20,1000,0.5025760938490805,0.46160698624098934,0.5437794259582539,-0.015443352356795614,-0.055503521531149326,0.024985145700934096
NVDA,hybrid,xgboost,joint,20,1000,0.530437539632213,0.492158314963212,0.5769547456865616,0.038443246670893993,-0.010161570006410119,0.09126901368963028
NVDA,lag_1,hist_gradient_boosting,joint,20,1000,0.5193074931304165,0.4782347489419592,0.5648827744766344,0.02369345804269718,-0.016882824825827474,0.058656495543566264
NVDA,lag_1,lightgbm,joint,20,1000,0.5158000422743606,0.47464327626887626,0.560388281206457,-0.0030384696681462486,-0.04170760797763298,0.046714917615417004
NVDA,lag_1,logistic_regression,joint,20,1000,0.5067242654829847,0.4648728395161197,0.5460114981862515,-0.01245772563939962,-0.06279578118189175,0.03662801530724796
NVDA,lag_1,random_forest,joint,20,1000,0.5012285986049462,0.45732097443448005,0.5419191409285298,-0.02971094905939542,-0.06932719282141149,0.01748181386258412
NVDA,lag_1,xgboost,joint,20,1000,0.5242284929190446,0.4839598499318211,0.5685042851908373,0.020714436694144966,-0.04374366449271591,0.07752706023073569
TSLA,base,hist_gradient_boosting,joint,20,1000,0.4983837194084544,0.43874045047540355,0.5551837845813008,-0.014926056798848286,-0.055922945102927474,0.02604010843132942
TSLA,base,lightgbm,joint,20,1000,0.5052283732495747,0.449039480579808,0.5556410540840883,-0.010247349823321539,-0.04989129330882148,0.027877577847104647
TSLA,base,logistic_regression,joint,20,1000,0.5259651878026437,0.48526569366789635,0.5690223326546864,0.009265802905378928,-0.022668118001102862,0.03812969828382776
TSLA,base,random_forest,joint,20,1000,0.5097304017798717,0.45053085631140066,0.5621595751836036,-0.007584085852637146,-0.050004326944139636,0.031727903588757475
TSLA,base,xgboost,joint,20,1000,0.5192514068839157,0.46675845719964754,0.5673039786889874,0.0053985080486846915,-0.029427375279532986,0.04046815296547437
TSLA,hybrid,hist_gradient_boosting,joint,20,1000,0.5117785630153121,0.4575811172185047,0.55830989038363,-0.030068053919644067,-0.07158758550443116,0.01170813356497733
TSLA,hybrid,lightgbm,joint,20,1000,0.5221175238843083,0.46590421165986456,0.5708654240156745,0.014343672294202303,-0.021090345307899588,0.04961768435567818
TSLA,hybrid,logistic_regression,joint,20,1000,0.5227326266195523,0.4826476000049248,0.563765565973614,0.019460803559743334,-0.016855638469890914,0.06183642168938716
TSLA,hybrid,random_forest,joint,20,1000,0.5266849888758016,0.471366172489806,0.5738684168874163,0.0010993325480957994,-0.022280944028483074,0.024914220135585998
TSLA,hybrid,xgboost,joint,20,1000,0.5304083235178642,0.4725840341587796,0.5757487312282968,0.010613794006020139,-0.030514931965174012,0.04951433458686436
TSLA,lag_1,hist_gradient_boosting,joint,20,1000,0.4949417615495354,0.43795776014908183,0.5401760115327621,-0.02231383326789682,-0.06480622040210395,0.015484734198251342
TSLA,lag_1,lightgbm,joint,20,1000,0.5210181913362125,0.45916617527075615,0.5717382260307478,0.022641015573877765,-0.017147378572095952,0.06320951958775127
TSLA,lag_1,logistic_regression,joint,20,1000,0.5323648737076299,0.4995624567480474,0.5692330932479867,0.031566548881036494,-0.0027887482596196276,0.07943624018615322
TSLA,lag_1,random_forest,joint,20,1000,0.5195524146054182,0.4642215415010531,0.5707015278501781,-0.004672163329407009,-0.0308441983723351,0.02103783263055076
TSLA,lag_1,xgboost,joint,20,1000,0.5088470095537234,0.44796689560883257,0.5595635164970509,-7.852375343531115e-05,-0.03731932957500155,0.035698501003396534
