scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,std_outer_auc,ticker,dataset_type,model_name,approach
outer_fold,0.5027027027027027,0.5955056179775281,0.48623853211009177,0.5353535353535354,0.506277160791888,0.5002349072116514,0.012361827366230238,0.49118783196523425,40,36,56,53,1.0,,,NVDA,lag_1,hist_gradient_boosting,individual
outer_fold,0.5597826086956522,0.5575221238938053,0.6702127659574468,0.6086956521739131,0.5573286052009456,0.5527950310559007,0.11773840730676334,0.5730496453900709,40,50,31,63,2.0,,,NVDA,lag_1,hist_gradient_boosting,individual
outer_fold,0.45652173913043476,0.5294117647058824,0.0891089108910891,0.15254237288135594,0.4963616843612072,0.376271186440678,-0.012503955104229256,0.5244542526541811,75,8,92,9,3.0,,,NVDA,lag_1,hist_gradient_boosting,individual
global,0.488245931283906,0.5368421052631579,0.5032894736842105,0.5195246179966044,0.4865844958782498,0.4860679182826349,-0.026710599221944725,0.4956140350877193,117,132,151,153,,0.49163815633646335,0.0144677665582064,NVDA,lag_1,hist_gradient_boosting,joint
outer_fold,0.4918918918918919,0.5675675675675675,0.5779816513761468,0.5727272727272728,0.4732013520038628,0.473030303030303,-0.053825190521887875,0.49372283920811205,28,48,46,63,1.0,,,NVDA,lag_1,hist_gradient_boosting,joint
outer_fold,0.483695652173913,0.496,0.6595744680851063,0.5662100456621004,0.4797872340425532,0.46431307652232534,-0.043297210016810694,0.47624113475177304,27,63,32,62,2.0,,,NVDA,lag_1,hist_gradient_boosting,joint
outer_fold,0.4891304347826087,0.5714285714285714,0.27722772277227725,0.37333333333333335,0.5121078372897531,0.47107033639143736,0.027260347053687524,0.504950495049505,62,21,73,28,3.0,,,NVDA,lag_1,hist_gradient_boosting,joint
global,0.4810126582278481,0.5381165919282511,0.39473684210526316,0.45540796963946867,0.4905411118156838,0.47986287946567563,-0.01918656154811751,0.5158000422743606,146,103,184,120,,0.5453582509075354,0.0313146902180741,NVDA,lag_1,lightgbm,individual
outer_fold,0.4702702702702703,0.5797101449275363,0.3669724770642202,0.449438202247191,0.4926967648478996,0.46951076779026213,-0.014859759658974197,0.5092950265572188,47,29,69,40,1.0,,,NVDA,lag_1,lightgbm,individual
outer_fold,0.5163043478260869,0.5182481751824818,0.7553191489361702,0.6147186147186147,0.5109929078014185,0.48254178911113216,0.025201045018007417,0.5611111111111111,24,66,23,71,2.0,,,NVDA,lag_1,lightgbm,individual
outer_fold,0.45652173913043476,0.5294117647058824,0.0891089108910891,0.15254237288135594,0.4963616843612072,0.376271186440678,-0.012503955104229256,0.5656686150542765,75,8,92,9,3.0,,,NVDA,lag_1,lightgbm,individual
global,0.5117540687160941,0.5611510791366906,0.5131578947368421,0.5360824742268041,0.5115990276897062,0.5104076493271426,0.023083374702484605,0.5188385119425069,127,122,148,156,,0.5161635107239243,0.02717842256182463,NVDA,lag_1,lightgbm,joint
outer_fold,0.5243243243243243,0.6019417475728155,0.5688073394495413,0.5849056603773585,0.5146668276195074,0.5139718175304514,0.02905097348239404,0.5061564461612749,35,41,47,62,1.0,,,NVDA,lag_1,lightgbm,joint
outer_fold,0.532608695652174,0.5377358490566038,0.6063829787234043,0.57,0.5309692671394799,0.529047619047619,0.06265357712016496,0.5469267139479905,41,49,37,57,2.0,,,NVDA,lag_1,lightgbm,joint
outer_fold,0.4782608695652174,0.5362318840579711,0.36633663366336633,0.43529411764705883,0.49039723249433376,0.475222816399287,-0.019740251314739242,0.49540737206250746,51,32,64,37,3.0,,,NVDA,lag_1,lightgbm,joint
global,0.5045207956600362,0.5513698630136986,0.5296052631578947,0.540268456375839,0.501750422743606,0.5015067772075273,0.0034889739687824434,0.5067242654829847,118,131,143,161,,0.5414199347115868,0.01603193105215239,NVDA,lag_1,logistic_regression,individual
outer_fold,0.4972972972972973,0.6428571428571429,0.3302752293577982,0.43636363636363634,0.533558667310478,0.49135254988913524,0.0718730173776836,0.5498551424432641,56,20,73,36,1.0,,,NVDA,lag_1,logistic_regression,individual
outer_fold,0.5271739130434783,0.5195530726256983,0.9893617021276596,0.6813186813186813,0.516903073286052,0.3827646038172354,0.10393679815517966,0.5229314420803783,4,86,1,93,2.0,,,NVDA,lag_1,logistic_regression,individual
outer_fold,0.4891304347826087,0.5614035087719298,0.31683168316831684,0.4050632911392405,0.5078134319456042,0.47872212176009643,0.016816370773062483,0.5514732196111178,58,25,69,32,3.0,,,NVDA,lag_1,logistic_regression,individual
global,0.49005424954792043,0.5486725663716814,0.40789473684210525,0.4679245283018868,0.4991280913126189,0.4891705974842767,-0.0017648563827860682,0.5191819911223843,147,102,180,124,,0.5215267893651351,0.016691808986630034,NVDA,lag_1,logistic_regression,joint
outer_fold,0.5405405405405406,0.6,0.6605504587155964,0.62882096069869,0.5144857556735877,0.5129920406330329,0.029856843744351543,0.5155721873491068,28,48,37,72,1.0,,,NVDA,lag_1,logistic_regression,joint
outer_fold,0.47282608695652173,0.4810126582278481,0.40425531914893614,0.4393063583815029,0.47434988179669024,0.4709352304728027,-0.05180794342439505,0.508628841607565,49,41,56,38,2.0,,,NVDA,lag_1,logistic_regression,joint
outer_fold,0.45652173913043476,0.5185185185185185,0.13861386138613863,0.21875,0.49099367768102115,0.4010416666666667,-0.02533060169060206,0.5403793391387332,70,13,87,14,3.0,,,NVDA,lag_1,logistic_regression,joint
global,0.4864376130198915,0.54,0.4440789473684211,0.48736462093862815,0.49111577890509406,0.48643593365771987,-0.0177621077545743,0.5012285986049462,134,115,169,135,,0.5404509319721079,0.02915776260916425,NVDA,lag_1,random_forest,individual
outer_fold,0.4648648648648649,0.5961538461538461,0.28440366972477066,0.38509316770186336,0.5040439401255432,0.45570447858777374,0.0088517117970708,0.5083293095123129,55,21,78,31,1.0,,,NVDA,lag_1,random_forest,individual
outer_fold,0.5108695652173914,0.5120481927710844,0.9042553191489362,0.6538461538461539,0.5021276595744681,0.41025641025641024,0.007160230820921175,0.5652482269503547,9,81,9,85,2.0,,,NVDA,lag_1,random_forest,individual
outer_fold,0.483695652173913,0.59375,0.18811881188118812,0.2857142857142857,0.5157461529285459,0.44072948328267475,0.041343516270851983,0.5477752594536562,70,13,82,19,3.0,,,NVDA,lag_1,random_forest,individual
global,0.5370705244122965,0.583916083916084,0.5493421052631579,0.5661016949152542,0.5357152293384062,0.5349888319537511,0.07111828201850512,0.5309395476643416,130,119,137,167,,0.5311115718299593,0.008344732529848024,NVDA,lag_1,random_forest,joint
outer_fold,0.5567567567567567,0.6134453781512605,0.6697247706422018,0.6403508771929824,0.5322308063737324,0.531443044230294,0.06620270936807139,0.5406808305166586,30,46,36,73,1.0,,,NVDA,lag_1,random_forest,joint
outer_fold,0.5543478260869565,0.5476190476190477,0.7340425531914894,0.6272727272727273,0.550354609929078,0.5366093366093366,0.10835654375530897,0.5273049645390071,33,57,25,69,2.0,,,NVDA,lag_1,random_forest,joint
outer_fold,0.5,0.6097560975609756,0.24752475247524752,0.352112676056338,0.5273768340689491,0.47251651501931946,0.06547160768722159,0.5253489204342121,67,16,76,25,3.0,,,NVDA,lag_1,random_forest,joint
global,0.5009041591320073,0.5786516853932584,0.33881578947368424,0.42738589211618255,0.5188054850982879,0.49253909990424516,0.04005210691286501,0.5242284929190446,174,75,201,103,,0.5533485083271743,0.04029696518900705,NVDA,lag_1,xgboost,individual
outer_fold,0.4540540540540541,0.6052631578947368,0.21100917431192662,0.3129251700680272,0.5068203766296475,0.4300051859308746,0.01661146489316778,0.5086914534041526,61,15,86,23,1.0,,,NVDA,lag_1,xgboost,individual
outer_fold,0.5760869565217391,0.5689655172413793,0.7021276595744681,0.6285714285714286,0.5732860520094563,0.5674502712477396,0.15179345728447147,0.586997635933806,40,50,28,66,2.0,,,NVDA,lag_1,xgboost,individual
outer_fold,0.47282608695652173,0.5833333333333334,0.13861386138613863,0.224,0.5090659668376476,0.41241152263374486,0.026790341070003255,0.5643564356435643,73,10,87,14,3.0,,,NVDA,lag_1,xgboost,individual
global,0.4936708860759494,0.5413793103448276,0.5164473684210527,0.5286195286195287,0.49115541111815686,0.49087226430976433,-0.017622488606930713,0.5035140562248996,116,133,147,157,,0.49854653134026,0.04074695352717036,NVDA,lag_1,xgboost,joint
outer_fold,0.5297297297297298,0.5964912280701754,0.6238532110091743,0.6098654708520179,0.5092950265572187,0.5090143680790702,0.01880698056222669,0.5189521970062771,30,46,41,68,1.0,,,NVDA,lag_1,xgboost,joint
outer_fold,0.4891304347826087,0.5,0.4787234042553192,0.4891304347826087,0.4893617021276596,0.4891304347826087,-0.02127659574468085,0.5250591016548464,45,45,49,45,2.0,,,NVDA,lag_1,xgboost,joint
outer_fold,0.46195652173913043,0.5116279069767442,0.43564356435643564,0.47058823529411764,0.4648097339854467,0.46181345466363344,-0.07019238757862732,0.45162829535965643,41,42,57,44,3.0,,,NVDA,lag_1,xgboost,joint
global,0.5117540687160941,0.5117540687160941,1.0,0.6770334928229665,0.5,0.33851674641148327,0.0,0.5,0,270,0,283,,0.5,0.0,TSLA,base,dummy,individual
outer_fold,0.5135135135135135,0.5135135135135135,1.0,0.6785714285714286,0.5,0.3392857142857143,0.0,0.5,0,90,0,95,1.0,,,TSLA,base,dummy,individual
outer_fold,0.4782608695652174,0.4782608695652174,1.0,0.6470588235294118,0.5,0.3235294117647059,0.0,0.5,0,96,0,88,2.0,,,TSLA,base,dummy,individual
outer_fold,0.5434782608695652,0.5434782608695652,1.0,0.704225352112676,0.5,0.352112676056338,0.0,0.5,0,84,0,100,3.0,,,TSLA,base,dummy,individual
global,0.5117540687160941,0.5117540687160941,1.0,0.6770334928229665,0.5,0.33851674641148327,0.0,0.5,0,270,0,283,,0.5,0.0,TSLA,base,dummy,joint
outer_fold,0.5135135135135135,0.5135135135135135,1.0,0.6785714285714286,0.5,0.3392857142857143,0.0,0.5,0,90,0,95,1.0,,,TSLA,base,dummy,joint
outer_fold,0.4782608695652174,0.4782608695652174,1.0,0.6470588235294118,0.5,0.3235294117647059,0.0,0.5,0,96,0,88,2.0,,,TSLA,base,dummy,joint
outer_fold,0.5434782608695652,0.5434782608695652,1.0,0.704225352112676,0.5,0.352112676056338,0.0,0.5,0,84,0,100,3.0,,,TSLA,base,dummy,joint
global,0.47377938517179025,0.4826086956521739,0.392226148409894,0.4327485380116959,0.4757427038345766,0.4710117057680739,-0.04920194905925604,0.4983837194084544,151,119,172,111,,0.5084279116351484,0.04930274434767916,TSLA,base,hist_gradient_boosting,individual
outer_fold,0.44324324324324327,0.45454545454545453,0.42105263157894735,0.4371584699453552,0.443859649122807,0.44317816545396105,-0.11237274052062018,0.45403508771929824,42,48,55,40,1.0,,,TSLA,base,hist_gradient_boosting,individual
outer_fold,0.4891304347826087,0.46875,0.5113636363636364,0.4891304347826087,0.4900568181818182,0.4891304347826087,-0.019886363636363636,0.5210700757575757,45,51,43,45,2.0,,,TSLA,base,hist_gradient_boosting,individual
outer_fold,0.4891304347826087,0.5652173913043478,0.26,0.3561643835616438,0.5109523809523809,0.4663704800691102,0.02519763153394848,0.5501785714285714,64,20,74,26,3.0,,,TSLA,base,hist_gradient_boosting,individual
global,0.5117540687160941,0.5221843003412969,0.5406360424028268,0.53125,0.5110587619421542,0.5109080188679245,0.022150886949630355,0.5133097762073027,130,140,130,153,,0.5262646139496469,0.034153101253524505,TSLA,base,hist_gradient_boosting,joint
outer_fold,0.4810810810810811,0.4961832061068702,0.6842105263157895,0.5752212389380531,0.4754385964912281,0.4542772861356932,-0.05400496703217164,0.5049122807017544,24,66,30,65,1.0,,,TSLA,base,hist_gradient_boosting,joint
outer_fold,0.5434782608695652,0.5175438596491229,0.6704545454545454,0.5841584158415841,0.5487689393939393,0.539067159728021,0.10035726414324629,0.5082267992424243,41,55,29,59,2.0,,,TSLA,base,hist_gradient_boosting,joint
outer_fold,0.5108695652173914,0.6041666666666666,0.29,0.3918918918918919,0.5319047619047619,0.4914004914004914,0.0723827491299917,0.5656547619047618,65,19,71,29,3.0,,,TSLA,base,hist_gradient_boosting,joint
global,0.4864376130198915,0.49746192893401014,0.3462897526501767,0.4083333333333333,0.489811542991755,0.47732960596379126,-0.02126940792563414,0.5052283732495747,171,99,185,98,,0.518674533160553,0.025765688868004576,TSLA,base,lightgbm,individual
outer_fold,0.4972972972972973,0.5119047619047619,0.45263157894736844,0.48044692737430167,0.4985380116959064,0.4967679663049519,-0.002935327892337572,0.48894736842105263,49,41,52,43,1.0,,,TSLA,base,lightgbm,individual
outer_fold,0.5054347826086957,0.4823529411764706,0.4659090909090909,0.47398843930635837,0.5037878787878788,0.5036608863198458,0.007590597467698782,0.5324928977272728,52,44,47,41,2.0,,,TSLA,base,lightgbm,individual
outer_fold,0.45652173913043476,0.5,0.14,0.21875,0.4866666666666667,0.4010416666666667,-0.03698001308168194,0.5345833333333334,70,14,86,14,3.0,,,TSLA,base,lightgbm,individual
global,0.5063291139240507,0.5182481751824818,0.5017667844522968,0.5098743267504489,0.506438947781704,0.5063032835938037,0.012874862972864668,0.5154757230728962,138,132,141,142,,0.5380675607896003,0.01770788822258817,TSLA,base,lightgbm,joint
outer_fold,0.5135135135135135,0.5196850393700787,0.6947368421052632,0.5945945945945946,0.5084795321637428,0.49324324324324326,0.018271284819799827,0.5490058479532165,29,61,29,66,1.0,,,TSLA,base,lightgbm,joint
outer_fold,0.5271739130434783,0.5048543689320388,0.5909090909090909,0.5445026178010471,0.5298295454545454,0.5264885970361168,0.060033333880575974,0.5176373106060606,45,51,36,52,2.0,,,TSLA,base,lightgbm,joint
outer_fold,0.4782608695652174,0.5454545454545454,0.24,0.3333333333333333,0.5009523809523809,0.45238095238095233,0.002224282697604351,0.5475595238095239,64,20,76,24,3.0,,,TSLA,base,lightgbm,joint
global,0.5135623869801085,0.5209580838323353,0.6148409893992933,0.5640194489465153,0.5111241984033503,0.5069585997288814,0.022739375363215488,0.5259651878026437,110,160,109,174,,0.5262068958697248,0.02729523473982544,TSLA,base,logistic_regression,individual
outer_fold,0.4972972972972973,0.5087719298245614,0.6105263157894737,0.5550239234449761,0.49415204678362573,0.48869208594609054,-0.012020854558377748,0.5269005847953216,34,56,37,58,1.0,,,TSLA,base,logistic_regression,individual
outer_fold,0.5706521739130435,0.5378151260504201,0.7272727272727273,0.6183574879227053,0.5771780303030303,0.5638371290545203,0.16131341295282234,0.5531486742424242,41,55,24,64,2.0,,,TSLA,base,logistic_regression,individual
outer_fold,0.47282608695652173,0.5148514851485149,0.52,0.5174129353233831,0.4683333333333334,0.4682873059850448,-0.06339751807463584,0.4985714285714286,35,49,48,52,3.0,,,TSLA,base,logistic_regression,individual
global,0.4972875226039783,0.5062344139650873,0.7173144876325088,0.5935672514619883,0.4919905771495877,0.46739973947506996,-0.0179354524819568,0.5166993848972647,72,198,80,203,,0.5198504666021114,0.023690940589183695,TSLA,base,logistic_regression,joint
outer_fold,0.4864864864864865,0.5,0.8105263157894737,0.6184738955823293,0.47748538011695907,0.4166749643200903,-0.060261018110518844,0.5256140350877194,13,77,18,77,1.0,,,TSLA,base,logistic_regression,joint
outer_fold,0.5054347826086957,0.48739495798319327,0.6590909090909091,0.5603864734299517,0.5118371212121212,0.4975845410628019,0.0247413210050341,0.5401278409090908,35,61,30,58,2.0,,,TSLA,base,logistic_regression,joint
outer_fold,0.5,0.53125,0.68,0.5964912280701754,0.4828571428571429,0.46967418546365913,-0.03711537444790452,0.4938095238095238,24,60,32,68,3.0,,,TSLA,base,logistic_regression,joint
global,0.5045207956600362,0.5157894736842106,0.519434628975265,0.5176056338028169,0.5041617589320769,0.5041559767527095,0.008325152330122368,0.5097304017798717,132,138,136,147,,0.5204357820846308,0.019054024476922622,TSLA,base,random_forest,individual
outer_fold,0.4864864864864865,0.5,0.6526315789473685,0.5662100456621004,0.4818713450292398,0.46853548640720916,-0.03854809107429511,0.5036257309941521,28,62,33,62,1.0,,,TSLA,base,random_forest,individual
outer_fold,0.5108695652173914,0.49137931034482757,0.6477272727272727,0.5588235294117647,0.5165719696969697,0.5050215208034433,0.03430027703759637,0.5411339962121212,37,59,31,57,2.0,,,TSLA,base,random_forest,individual
outer_fold,0.5163043478260869,0.6222222222222222,0.28,0.38620689655172413,0.5388095238095238,0.4935518787691356,0.08994857670057198,0.516547619047619,67,17,72,28,3.0,,,TSLA,base,random_forest,individual
global,0.4864376130198915,0.49842271293375395,0.558303886925795,0.5266666666666666,0.48470749901845306,0.48270092226613964,-0.03090992704026796,0.5173144876325089,111,159,125,158,,0.5444253863826233,0.01930590682280203,TSLA,base,random_forest,joint
outer_fold,0.4756756756756757,0.49390243902439024,0.8526315789473684,0.6254826254826255,0.46520467836257307,0.37580437580437576,-0.10964840963967191,0.5607017543859649,7,83,14,81,1.0,,,TSLA,base,random_forest,joint
