dataset_type,model_name,params,fold,train_start,train_end,valid_start,valid_end,threshold,threshold_f1,optimized_accuracy,optimized_precision,optimized_recall,optimized_f1,optimized_roc_auc,optimized_tn,optimized_fp,optimized_fn,optimized_tp,fixed_0_5_accuracy,fixed_0_5_precision,fixed_0_5_recall,fixed_0_5_f1,fixed_0_5_roc_auc,fixed_0_5_tn,fixed_0_5_fp,fixed_0_5_fn,fixed_0_5_tp
base,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": null}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.4,0.6942637492607925,0.5317028985507246,0.5317028985507246,1.0,0.6942637492607925,0.4927424961858975,0,1034,0,1174,0.490036231884058,0.5181543116490166,0.5834752981260647,0.5488782051282052,0.4927424961858975,397,637,489,685
base,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": null}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.325,0.7135355892648775,0.5552536231884058,0.5549001814882033,0.9991830065359477,0.7135355892648775,0.508996061161592,3,981,1,1223,0.5561594202898551,0.5626927029804728,0.8946078431372549,0.6908517350157729,0.508996061161592,133,851,129,1095
base,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": null}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6815210932857991,0.5171171171171172,0.5168995042812078,1.0,0.6815210932857991,0.4779907225868204,1,1072,0,1147,0.5108108108108108,0.5162320383182544,0.8456843940714909,0.6411103767349636,0.4779907225868204,164,909,177,970
base,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.4,0.6945185185185185,0.5330615942028986,0.5324852339845525,0.9982964224872232,0.6945185185185185,0.49249865723822733,5,1029,2,1172,0.4846014492753623,0.5180360721442886,0.4403747870528109,0.47605893186003684,0.49249865723822733,553,481,657,517
base,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.7135355892648775,0.5552536231884058,0.5549001814882033,0.9991830065359477,0.7135355892648775,0.509094864232956,3,981,1,1223,0.5348731884057971,0.5685455810716771,0.6674836601307189,0.614054866591507,0.509094864232956,364,620,407,817
base,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6811292719167905,0.5166666666666667,0.5166816952209198,0.999128160418483,0.6811292719167905,0.47805084945451115,1,1072,1,1146,0.47927927927927927,0.4963913392141139,0.5396687009590235,0.5171261487050961,0.47805084945451115,445,628,528,619
base,logistic_regression,"{""model__C"": 1.0, ""model__class_weight"": null}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.375,0.6954976303317536,0.5344202898550725,0.5331516802906449,1.0,0.6954976303317536,0.49468826508588726,6,1028,0,1174,0.4891304347826087,0.5196245733788396,0.5187393526405452,0.5191815856777494,0.49468826508588726,471,563,565,609
base,logistic_regression,"{""model__C"": 1.0, ""model__class_weight"": null}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.7114369501466276,0.5543478260869565,0.5548947849954254,0.9910130718954249,0.7114369501466276,0.5124500172697806,11,973,11,1213,0.5516304347826086,0.5631749460043196,0.8521241830065359,0.6781534460338101,0.5124500172697806,175,809,181,1043
base,logistic_regression,"{""model__C"": 1.0, ""model__class_weight"": null}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.680952380952381,0.5171171171171172,0.516945323090827,0.997384481255449,0.680952380952381,0.48384334188380723,4,1069,3,1144,0.5036036036036036,0.5127478753541076,0.7890148212728858,0.6215659340659341,0.48384334188380723,213,860,242,905
base,logistic_regression,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.35,0.6944690919846199,0.5321557971014492,0.5319438151336656,1.0,0.6944690919846199,0.4946775559429153,1,1033,0,1174,0.485054347826087,0.52026286966046,0.4045996592844974,0.4551988500239578,0.4946775559429153,596,438,699,475
base,logistic_regression,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.325,0.7105882352941176,0.5543478260869565,0.5551470588235294,0.9869281045751634,0.7105882352941176,0.5125728984005526,16,968,16,1208,0.5262681159420289,0.5664179104477612,0.6200980392156863,0.5920436817472698,0.5125728984005526,403,581,465,759
base,logistic_regression,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.679200238734706,0.5157657657657657,0.5163339382940109,0.992153443766347,0.679200238734706,0.4839709083463405,7,1066,9,1138,0.4927927927927928,0.5090283748925194,0.5161290322580645,0.5125541125541125,0.4839709083463405,502,571,555,592
base,logistic_regression,"{""model__C"": 10.0, ""model__class_weight"": null}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6930634117296814,0.5330615942028986,0.5327231121281465,0.9914821124361158,0.6930634117296814,0.5038050408759749,13,1021,10,1164,0.5054347826086957,0.5347457627118644,0.5374787052810903,0.536108751062022,0.5038050408759749,485,549,543,631
base,logistic_regression,"{""model__C"": 10.0, ""model__class_weight"": null}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.7086943531520765,0.5584239130434783,0.5586434291097504,0.9689542483660131,0.7086943531520765,0.5215199731654179,47,937,38,1186,0.5452898550724637,0.5653206650831354,0.7777777777777778,0.6547455295735901,0.5215199731654179,252,732,272,952
base,logistic_regression,"{""model__C"": 10.0, ""model__class_weight"": null}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6790308106491175,0.5166666666666667,0.5168488160291439,0.9895379250217959,0.6790308106491175,0.4892766981574366,12,1061,12,1135,0.49864864864864866,0.5102781136638452,0.7358326068003488,0.6026419136022849,0.4892766981574366,263,810,303,844
base,logistic_regression,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.692744102717229,0.5339673913043478,0.5333333333333333,0.9880749574105622,0.692744102717229,0.5038651768326639,19,1015,14,1160,0.48867753623188404,0.5242718446601942,0.41396933560477,0.46263683960019036,0.5038651768326639,593,441,688,486
base,logistic_regression,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.7054938456919844,0.5557065217391305,0.5576649264356905,0.9599673202614379,0.7054938456919844,0.5136057641213667,52,932,49,1175,0.5226449275362319,0.5685483870967742,0.5759803921568627,0.5722402597402597,0.5136057641213667,449,535,519,705
base,logistic_regression,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6780883678990082,0.5175675675675676,0.5174311926605505,0.983435047951177,0.6780883678990082,0.4892531349255036,21,1052,19,1128,0.4936936936936937,0.5102404274265361,0.4995640802092415,0.5048458149779735,0.4892531349255036,523,550,574,573
base,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 6, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6625647668393783,0.5280797101449275,0.5344827586206896,0.8713798977853492,0.6625647668393783,0.48781464285831966,143,891,151,1023,0.49094202898550726,0.5213310580204779,0.520442930153322,0.5208866155157715,0.48781464285831966,473,561,563,611
base,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 6, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.7132867132867133,0.5543478260869565,0.5543478260869565,1.0,0.7132867132867133,0.5281464211700941,0,984,0,1224,0.5108695652173914,0.5796460176991151,0.42810457516339867,0.4924812030075188,0.5281464211700941,604,380,700,524
base,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 6, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6341798215511325,0.5198198198198198,0.5229202037351444,0.8055797733217088,0.6341798215511325,0.5018025872428663,230,843,223,924,0.5108108108108108,0.5230536659108088,0.6033129904097646,0.5603238866396761,0.5018025872428663,442,631,455,692
base,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 6, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.662109375,0.529891304347826,0.535827186512118,0.8662691652470187,0.662109375,0.4899824205299213,153,881,157,1017,0.4746376811594203,0.5122377622377622,0.2495741056218058,0.3356242840778923,0.4899824205299213,755,279,881,293
base,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 6, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.325,0.7132867132867133,0.5543478260869565,0.5543478260869565,1.0,0.7132867132867133,0.5281302307508369,0,984,0,1224,0.485054347826087,0.5951859956236324,0.2222222222222222,0.3236168947055324,0.5281302307508369,799,185,952,272
base,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 6, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6336088154269972,0.5207207207207207,0.5236198064883324,0.8020924149956408,0.6336088154269972,0.5011773490714055,236,837,227,920,0.48153153153153155,0.49770114942528737,0.37750653879686136,0.4293505205751115,0.5011773490714055,636,437,714,433
base,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 6, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.35,0.6942637492607925,0.5317028985507246,0.5317028985507246,1.0,0.6942637492607925,0.4893670566991456,0,1034,0,1174,0.495018115942029,0.5227097767513472,0.5783645655877342,0.5491306105944197,0.4893670566991456,414,620,495,679
base,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 6, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.45,0.7134946079860099,0.5548007246376812,0.5545990031717263,1.0,0.7134946079860099,0.5315870928317127,1,983,0,1224,0.5566123188405797,0.5733972438585979,0.7818627450980392,0.6615969581749049,0.5315870928317127,272,712,267,957
base,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 6, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6813186813186813,0.5166666666666667,0.5166666666666667,1.0,0.6813186813186813,0.4972938846912932,0,1073,0,1147,0.5054054054054054,0.5183520599250936,0.6033129904097646,0.5576148267526189,0.4972938846912932,430,643,455,692
base,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 6, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.35,0.6942637492607925,0.5317028985507246,0.5317028985507246,1.0,0.6942637492607925,0.490921529990543,0,1034,0,1174,0.4855072463768116,0.5213483146067416,0.39522998296422485,0.4496124031007752,0.490921529990543,608,426,710,464
base,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 6, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.425,0.7132867132867133,0.5543478260869565,0.5543478260869565,1.0,0.7132867132867133,0.5293943288697592,0,984,0,1224,0.5230978260869565,0.5766816143497758,0.5253267973856209,0.549807610089782,0.5293943288697592,512,472,581,643
base,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 6, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.680952380952381,0.5171171171171172,0.516945323090827,0.997384481255449,0.680952380952381,0.49747589034484385,4,1069,3,1144,0.49324324324324326,0.5134474327628362,0.36617262423714037,0.42748091603053434,0.49747589034484385,675,398,727,420
base,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 10, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6502659574468085,0.5235507246376812,0.5332606324972737,0.8330494037478705,0.6502659574468085,0.4849565373551382,178,856,196,978,0.48188405797101447,0.5175233644859814,0.37734241908006816,0.43645320197044335,0.4849565373551382,621,413,731,443
base,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 10, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.6986846130315081,0.5538949275362319,0.5584352078239608,0.9330065359477124,0.6986846130315081,0.5208673747276689,81,903,82,1142,0.48641304347826086,0.5677710843373494,0.30800653594771243,0.399364406779661,0.5208673747276689,697,287,847,377
base,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 10, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6254392129304287,0.5198198198198198,0.5238375515008828,0.7759372275501307,0.6254392129304287,0.5018545888581665,264,809,257,890,0.5022522522522522,0.5166666666666667,0.5675675675675675,0.5409223099293726,0.5018545888581665,464,609,496,651
base,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.650049850448654,0.5230978260869565,0.5329700272479564,0.8330494037478705,0.650049850448654,0.48702504950919173,177,857,196,978,0.48007246376811596,0.5206349206349207,0.27938671209540034,0.36363636363636365,0.48702504950919173,732,302,846,328
base,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.6946329426280075,0.5516304347826086,0.557978196233895,0.9199346405228758,0.6946329426280075,0.5203957768744354,92,892,98,1126,0.47282608695652173,0.5697674418604651,0.20016339869281047,0.2962515114873035,0.5203957768744354,799,185,979,245
base,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6222222222222222,0.5175675675675676,0.5225118483412322,0.7689625108979947,0.6222222222222222,0.5020829084503438,267,806,265,882,0.4905405405405405,0.5084745762711864,0.4184829991281604,0.45911047345767575,0.5020829084503438,609,464,667,480
