dataset_type,model_name,params,fold,train_start,train_end,valid_start,valid_end,threshold,threshold_f1,optimized_accuracy,optimized_precision,optimized_recall,optimized_f1,optimized_roc_auc,optimized_tn,optimized_fp,optimized_fn,optimized_tp,fixed_0_5_accuracy,fixed_0_5_precision,fixed_0_5_recall,fixed_0_5_f1,fixed_0_5_roc_auc,fixed_0_5_tn,fixed_0_5_fp,fixed_0_5_fn,fixed_0_5_tp
hybrid,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": null}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.7122407245106631,0.5538949275362319,0.5543428831286948,0.9959150326797386,0.7122407245106631,0.5069510866677294,4,980,5,1219,0.5448369565217391,0.5618993781797625,0.8120915032679739,0.6642165051787504,0.5069510866677294,209,775,230,994
hybrid,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": null}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6807372175980975,0.5162162162162162,0.5164636896707262,0.998256320836966,0.6807372175980975,0.48130988818840187,1,1072,2,1145,0.5081081081081081,0.5156338828880046,0.7907585004359198,0.6242257398485891,0.48130988818840187,221,852,240,907
hybrid,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6911150864639237,0.5307971014492754,0.531651376146789,0.9872231686541738,0.6911150864639237,0.4998451293170203,13,1021,15,1159,0.49682971014492755,0.5300285986653956,0.4735945485519591,0.5002249212775528,0.4998451293170203,541,493,618,556
hybrid,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.7116959064327485,0.5534420289855072,0.5541894353369763,0.994281045751634,0.7116959064327485,0.5067127969073808,5,979,7,1217,0.5176630434782609,0.5591078066914498,0.6143790849673203,0.585441806150253,0.5067127969073808,391,593,472,752
hybrid,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6803571428571429,0.5162162162162162,0.5164934478084049,0.9965126416739319,0.6803571428571429,0.4813505144503551,3,1070,4,1143,0.4905405405405405,0.5066889632107023,0.5283347863993025,0.5172855313700384,0.4813505144503551,483,590,541,606
hybrid,logistic_regression,"{""model__C"": 1.0, ""model__class_weight"": null}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6911589008363201,0.5317028985507246,0.5321987120515179,0.985519591141397,0.6911589008363201,0.501390541025903,17,1017,17,1157,0.5027173913043478,0.5309446254071661,0.555366269165247,0.5428809325562032,0.501390541025903,458,576,522,652
hybrid,logistic_regression,"{""model__C"": 1.0, ""model__class_weight"": null}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.7103023187555034,0.5529891304347826,0.554283096655978,0.988562091503268,0.7103023187555034,0.5124624714384398,11,973,14,1210,0.5457427536231884,0.5647334504979497,0.7875816993464052,0.6577959740702832,0.5124624714384398,241,743,260,964
hybrid,logistic_regression,"{""model__C"": 1.0, ""model__class_weight"": null}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6803693774203158,0.5166666666666667,0.5167420814479639,0.995640802092415,0.6803693774203158,0.4830641301795437,5,1068,5,1142,0.5031531531531531,0.5132211538461539,0.7445510026155188,0.607612949128424,0.4830641301795437,263,810,293,854
hybrid,logistic_regression,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6905829596412556,0.53125,0.5320128972823583,0.9838160136286201,0.6905829596412556,0.5013139294646417,18,1016,19,1155,0.4941123188405797,0.5304812834224599,0.42248722316865417,0.4703651019440493,0.5013139294646417,595,439,678,496
hybrid,logistic_regression,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.7096204766107679,0.5529891304347826,0.5544827586206896,0.9852941176470589,0.7096204766107679,0.5129722620755619,15,969,18,1206,0.5226449275362319,0.5650842266462481,0.6029411764705882,0.583399209486166,0.5129722620755619,416,568,486,738
hybrid,logistic_regression,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.325,0.6800599700149925,0.5193693693693694,0.5182815356489945,0.988666085440279,0.6800599700149925,0.48341676613329804,19,1054,13,1134,0.4882882882882883,0.504941599281222,0.4899738448125545,0.49734513274336284,0.48341676613329804,522,551,585,562
hybrid,logistic_regression,"{""model__C"": 10.0, ""model__class_weight"": null}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6900479616306955,0.5317028985507246,0.532377428307123,0.9804088586030665,0.6900479616306955,0.5091521983399181,23,1011,23,1151,0.5108695652173914,0.5382736156351792,0.5630323679727428,0.5503746877601998,0.5091521983399181,467,567,513,661
hybrid,logistic_regression,"{""model__C"": 10.0, ""model__class_weight"": null}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.706057893166219,0.5538949275362319,0.5561824165491303,0.9665032679738562,0.706057893166219,0.5197340453796695,40,944,41,1183,0.542572463768116,0.5667915106117354,0.7418300653594772,0.6426043878273178,0.5197340453796695,290,694,316,908
hybrid,logistic_regression,"{""model__C"": 10.0, ""model__class_weight"": null}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6796290756805264,0.5175675675675676,0.517304189435337,0.990409764603313,0.6796290756805264,0.489980345014467,13,1060,11,1136,0.5027027027027027,0.5132962275819418,0.7236268526591108,0.6005788712011577,0.489980345014467,286,787,317,830
hybrid,logistic_regression,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6894053727739209,0.5339673913043478,0.5338943431510051,0.9727427597955707,0.6894053727739209,0.5076965786759545,37,997,32,1142,0.495018115942029,0.5312169312169313,0.42759795570698467,0.4738084001887683,0.5076965786759545,591,443,672,502
hybrid,logistic_regression,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.7022302591922845,0.552536231884058,0.5563514804202483,0.951797385620915,0.7022302591922845,0.5188531205164992,55,929,59,1165,0.5140398550724637,0.5628642797668609,0.5522875816993464,0.5575257731958763,0.5188531205164992,459,525,548,676
hybrid,logistic_regression,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6771084337349398,0.5171171171171172,0.5172572480441786,0.979947689625109,0.6771084337349398,0.4886323656428578,24,1049,23,1124,0.4954954954954955,0.5120213713268033,0.5013077593722755,0.5066079295154186,0.4886323656428578,525,548,572,575
hybrid,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 6, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6731738035264484,0.529891304347826,0.5339660339660339,0.9105621805792163,0.6731738035264484,0.48649988961344937,101,933,105,1069,0.49682971014492755,0.5258833196384552,0.545144804088586,0.5353408615641991,0.48649988961344937,457,577,534,640
hybrid,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 6, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.375,0.7132867132867133,0.5543478260869565,0.5543478260869565,1.0,0.7132867132867133,0.5314534180881024,0,984,0,1224,0.519927536231884,0.5848861283643892,0.4616013071895425,0.5159817351598174,0.5314534180881024,583,401,659,565
hybrid,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 6, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6487900588620014,0.5162162162162162,0.5190999476713762,0.8648648648648649,0.6487900588620014,0.5001710365628234,154,919,155,992,0.5067567567567568,0.5193452380952381,0.6085440278988666,0.560417503010839,0.5001710365628234,427,646,449,698
hybrid,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 6, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.3,0.6653833814565288,0.5276268115942029,0.5337107565620175,0.883304940374787,0.6653833814565288,0.4866444630435714,128,906,137,1037,0.4841485507246377,0.5198637911464246,0.3901192504258944,0.4457420924574209,0.4866444630435714,611,423,716,458
hybrid,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 6, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.375,0.7135355892648775,0.5552536231884058,0.5549001814882033,0.9991830065359477,0.7135355892648775,0.5292000438386737,3,981,1,1223,0.47780797101449274,0.5728952772073922,0.22794117647058823,0.32612507305669197,0.5292000438386737,776,208,945,279
hybrid,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 6, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6453971419076105,0.5193693693693694,0.5214822771213748,0.8465562336530078,0.6453971419076105,0.5001815993909311,182,891,176,971,0.49594594594594593,0.5167064439140812,0.37750653879686136,0.436272040302267,0.5001815993909311,668,405,714,433
hybrid,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 6, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.35,0.6942637492607925,0.5317028985507246,0.5317028985507246,1.0,0.6942637492607925,0.4937199114271498,0,1034,0,1174,0.5058876811594203,0.532806324110672,0.5741056218057922,0.5526855268552685,0.4937199114271498,443,591,500,674
hybrid,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 6, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.425,0.7132867132867133,0.5543478260869565,0.5543478260869565,1.0,0.7132867132867133,0.5308340307667783,0,984,0,1224,0.5480072463768116,0.5693251533742332,0.7581699346405228,0.6503153468815698,0.5308340307667783,282,702,296,928
hybrid,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 6, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.35,0.6813186813186813,0.5166666666666667,0.5166666666666667,1.0,0.6813186813186813,0.4921879760890073,0,1073,0,1147,0.4954954954954955,0.510250569476082,0.5858761987794245,0.5454545454545454,0.4921879760890073,428,645,475,672
hybrid,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 6, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.35,0.6942637492607925,0.5317028985507246,0.5317028985507246,1.0,0.6942637492607925,0.4956735062393115,0,1034,0,1174,0.4904891304347826,0.5271920088790233,0.4045996592844974,0.4578313253012048,0.4956735062393115,608,426,699,475
hybrid,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 6, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.4,0.7132867132867133,0.5543478260869565,0.5543478260869565,1.0,0.7132867132867133,0.5301332762102131,0,984,0,1224,0.5122282608695652,0.5758513931888545,0.45588235294117646,0.5088919288645691,0.5301332762102131,573,411,666,558
hybrid,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 6, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.325,0.6813186813186813,0.5166666666666667,0.5166666666666667,1.0,0.6813186813186813,0.491760587813259,0,1073,0,1147,0.48873873873873874,0.5079787234042553,0.3330427201394943,0.40231700895208006,0.491760587813259,703,370,765,382
